time,kind,id,x,y
0.3500,agent,agent_01,2.586848,3.025162
0.3500,agent,agent_02,5.627092,4.326630
0.3500,agent,agent_03,1.828138,3.986425
0.3500,agent,agent_04,5.118922,5.818802
0.3500,agent,agent_05,5.504958,3.438639
0.3500,agent,agent_06,2.163427,3.056052
0.3500,agent,agent_07,3.297229,5.387769
0.3500,agent,agent_08,5.444415,4.970310
0.3500,agent,agent_09,2.479329,3.482819
0.3500,agent,agent_10,4.517553,5.487873
0.3500,agent,agent_11,1.986848,4.630003
0.3500,agent,agent_12,1.994725,3.552987
0.3500,agent,agent_13,5.130893,3.098922
0.3500,agent,agent_14,2.148892,4.953254
0.3500,agent,agent_15,2.298437,2.771909
0.3500,cargo,cargo_0,3.784836,3.806352
0.4000,agent,agent_00,4.377687,2.318958
0.4000,agent,agent_01,2.603236,3.030772
0.4000,agent,agent_02,5.612026,4.317728
0.4000,agent,agent_03,1.845638,3.986472
0.4000,agent,agent_04,5.117269,5.801380
0.4000,agent,agent_05,5.490082,3.447855
0.4000,agent,agent_06,2.180407,3.058692
0.4000,agent,agent_07,3.298608,5.373838
0.4000,agent,agent_08,5.437587,4.954197
0.4000,agent,agent_09,2.494012,3.492341
0.4000,agent,agent_10,4.502693,5.478630
0.4000,agent,agent_11,2.003102,4.623520
0.4000,agent,agent_12,2.012222,3.553320
0.4000,agent,agent_13,5.117500,3.104083
0.4000,agent,agent_14,2.165213,4.946939
0.4000,agent,agent_15,2.311171,2.777817
0.4000,cargo,cargo_0,3.784836,3.806352
0.4500,agent,agent_00,4.371912,2.335478
0.4500,agent,agent_01,2.618713,3.036313
0.4500,agent,agent_02,5.596818,4.309068
0.4500,agent,agent_03,1.863138,3.986518
0.4500,agent,agent_04,5.115610,5.783959
0.4500,agent,agent_05,5.475266,3.456764
0.4500,agent,agent_06,2.197236,3.061830
0.4500,agent,agent_07,3.300123,5.360420
0.4500,agent,agent_08,5.430759,4.938084
0.4500,agent,agent_09,2.508886,3.501562
0.4500,agent,agent_10,4.487757,5.469510
0.4500,agent,agent_11,2.019354,4.617029
0.4500,agent,agent_12,2.029720,3.553516
0.4500,agent,agent_13,5.104388,3.108369
0.4500,agent,agent_14,2.181453,4.940419
0.4500,agent,agent_15,2.324074,2.783938
0.4500,cargo,cargo_0,3.784836,3.806352
0.5000,agent,agent_00,4.365453,2.351743
0.5000,agent,agent_01,2.633394,3.041888
0.5000,agent,agent_02,5.581679,4.300291
0.5000,agent,agent_03,1.880638,3.986564
0.5000,agent,agent_04,5.113951,5.766537
0.5000,agent,agent_05,5.460488,3.465249
0.5000,agent,agent_06,2.213836,3.065382
0.5000,agent,agent_07,3.303595,5.348471
0.5000,agent,agent_08,5.423931,4.921971
0.5000,agent,agent_09,2.523346,3.511418
0.5000,agent,agent_10,4.472889,5.460281
0.5000,agent,agent_11,2.035556,4.610414
0.5000,agent,agent_12,2.047186,3.552413
0.5000,agent,agent_13,5.091565,3.112223
0.5000,agent,agent_14,2.197671,4.933846
