shape,seed,grid_resolution,complete_30s,theorem_conditions_hold_full_horizon,full_horizon_J_bound_status,condition_failure_frames,zero_input_with_rho_failure_count,J_bar,E_bar,gradient_residual_bar,centroid2_bar,B_E_rigorous,B_J_prior_certificate,B_J_prior_P0H_rigorousE,B_J_geom,prior_beats_geom_certificate,wall_seconds
c_shape,2,20,True,True,applicable_post_hoc,[],0,0.011969391413757125,1.8981521177360147e-07,0.01716140396549742,0.21720971778595086,0.10627026532285036,0.1268875421829119,0.12320040192704448,0.22951077763729574,True,1217.9393199999995
c_shape,5,20,True,False,inapplicable,"[227, 228, 229, 230, 231]",5,0.01232829531854711,6.162789118814291e-08,0.015804445597155603,0.2342895189331003,0.10627026532285036,0.1268875421829119,0.12349081081459028,0.22951077763729574,True,1403.3534894999993
c_shape,8,20,True,True,applicable_post_hoc,[],0,0.012439760950427745,1.2549708814720843e-07,0.01704431252595375,0.24737499691839696,0.10627026532285036,0.1268875421829119,0.12418080186120847,0.22951077763729574,True,1312.9844242
l_shape,2,20,True,True,applicable_post_hoc,[],0,0.011153047619027972,1.1664650353808113e-07,0.011934638735379288,0.16706301585289823,0.09790489583495458,0.11979606655395021,0.11293133719528856,0.22951077763729585,True,1184.9478627000008
l_shape,5,20,True,True,applicable_post_hoc,[],0,0.010772437236221658,5.935935048391923e-08,0.013370836586981657,0.19791259680873305,0.09790489583495458,0.11979606655395021,0.11231935117770532,0.22951077763729585,True,1180.7027552
l_shape,8,20,True,True,applicable_post_hoc,[],0,0.011529960420729431,8.022271841264655e-08,0.011132240350163162,0.22595354807345217,0.09790489583495458,0.11979606655395021,0.1145966798959215,0.22951077763729585,True,1261.8593246
rectangle,2,20,True,True,applicable_post_hoc,[],0,0.008917025926480526,1.478907783094126e-07,0.00857762956502955,0.18660054354458716,0.07327790339209057,0.09102082361146896,0.08710207217157057,0.18025060482900776,True,882.8369525000016
rectangle,5,20,True,True,applicable_post_hoc,[],0,0.009101527475884903,6.789223478878201e-08,0.0083383231772595,0.20059693449720625,0.07327790339209057,0.09102082361146896,0.08747604216907398,0.18025060482900776,True,984.5500460000003
rectangle,8,20,True,True,applicable_post_hoc,[],0,0.009220417704243885,1.3140289101534162e-07,0.008219672526816867,0.2039353941514842,0.07327790339209057,0.09102082361146896,0.08819082563739183,0.18025060482900776,True,936.9434182999994
