t,pid,cpu_percent,rss,children
1789550113.2673252,22716,87.2,92045312,16
1789550115.6217902,22716,87.7,92045312,16
1789550118.0315747,22716,87.5,92045312,16
1789550120.405055,22716,87.7,92045312,16
1789550122.6752942,22716,87.5,92045312,16
1789550124.925567,22716,87.5,92045312,16
1789550127.1938834,22716,87.5,92045312,16
1789550129.4657784,22716,87.7,92045312,16
1789550131.7434716,22716,87.6,92045312,16
1789550134.0506537,22716,87.6,92049408,16
1789550136.3388402,22716,87.6,92049408,16
1789550138.624725,22716,87.5,92049408,16
1789550140.9187179,22716,87.5,92049408,16
1789550143.2033377,22716,87.6,92049408,16
1789550145.480855,22716,87.5,92049408,16
1789550147.7399893,22716,87.6,92061696,16
1789550149.8875968,22716,87.4,92061696,16
1789550152.0161338,22716,87.6,92061696,16
1789550154.3798943,22716,87.6,92061696,16
1789550156.6625316,22716,87.5,92061696,16
1789550158.9436228,22716,87.6,92061696,16
1789550161.0423505,22716,87.4,92061696,16
1789550163.321587,22716,87.6,92061696,16
1789550165.575391,22716,87.6,92061696,16
1789550167.8625286,22716,87.5,92061696,16
1789550170.0699406,22716,87.5,92061696,16
1789550172.3725476,22716,87.5,92061696,16
1789550174.6367786,22716,87.5,92061696,16
1789550176.9076865,22716,87.5,92061696,16
1789550179.1906052,22716,87.7,92061696,16
1789550181.2249434,22716,87.3,92061696,16
1789550183.5410054,22716,87.6,92061696,16
1789550185.7911956,22716,87.5,92061696,16
1789550187.9461908,22716,87.7,92061696,16
1789550190.0123198,22716,87.4,92065792,16
1789550192.2767923,22716,87.5,92065792,16
1789550194.5637314,22716,87.6,92065792,16
1789550196.843638,22716,87.6,92065792,16
1789550199.1171389,22716,87.6,92065792,16
1789550201.3848581,22716,87.5,92078080,16
1789550203.6006072,22716,87.6,92078080,16
1789550205.9099338,22716,87.5,92078080,16
1789550208.1837204,22716,87.6,92078080,16
1789550210.4533105,22716,87.5,92082176,16
1789550212.7337615,22716,87.6,92082176,16
1789550214.9922118,22716,87.5,92082176,16
1789550217.2720072,22716,87.6,92082176,16
1789550219.5490675,22716,87.6,92082176,16
1789550221.8478506,22716,87.6,92082176,16
1789550224.1313856,22716,87.6,92082176,16
1789550226.3936377,22716,87.7,92082176,16
1789550228.428795,22716,87.4,92082176,16
1789550230.6978931,22716,87.6,92082176,16
1789550232.975356,22716,87.6,92086272,16
1789550235.256688,22716,87.4,92086272,16
1789550237.5713873,22716,87.6,92086272,16
1789550239.8699305,22716,87.6,92086272,16
1789550242.1660442,22716,87.4,92086272,16
1789550244.4544566,22716,87.6,92090368,16
1789550246.7231479,22716,87.5,92090368,16
1789550248.9978034,22716,87.5,92090368,16
1789550251.2805712,22716,87.6,92090368,16
1789550253.5454626,22716,87.5,92090368,16
1789550255.8100178,22716,87.6,92090368,16
1789550258.0817974,22716,87.5,92106752,16
1789550260.3545454,22716,87.6,92106752,16
1789550262.6441586,22716,87.6,92106752,16
1789550264.9213288,22716,87.5,92106752,16
1789550267.2027915,22716,87.7,92106752,16
1789550269.4958053,22716,87.5,92106752,16
1789550271.836439,22716,87.6,92114944,16
1789550274.121616,22716,87.6,92114944,16
1789550276.379827,22716,87.6,92114944,16
1789550278.6643934,22716,87.6,92114944,16
1789550280.940357,22716,87.5,92114944,16
1789550283.1192698,22716,87.5,92119040,16
1789550285.384161,22716,87.7,92131328,16
1789550287.6547334,22716,87.5,92131328,16
1789550289.9263403,22716,87.4,92131328,16
1789550292.2104182,22716,87.6,92131328,16
1789550294.4843392,22716,87.7,92135424,16
1789550296.770162,22716,87.5,92135424,16
1789550299.0507817,22716,87.6,92139520,16
1789550301.3208888,22716,87.6,92143616,16
1789550303.586715,22716,87.6,92143616,16
1789550305.8699467,22716,87.4,92155904,16
1789550308.161087,22716,87.6,92155904,16
1789550310.4466527,22716,87.4,92155904,16
1789550312.7215488,22716,87.7,92155904,16
1789550315.0126953,22716,87.5,92155904,16
1789550317.2795274,22716,87.6,92155904,16
1789550319.5609403,22716,87.5,92155904,16
1789550321.7601063,22716,87.6,92155904,16
1789550324.0253613,22716,87.5,92155904,16
1789550326.2996163,22716,87.5,92155904,16
1789550328.566251,22716,87.6,92155904,16
1789550330.8550048,22716,87.3,92176384,16
1789550333.2237813,22716,87.6,92176384,16
1789550335.5671632,22716,87.6,92176384,16
1789550338.119598,22716,87.9,92176384,16
1789550340.1552002,22716,87.2,92176384,16
1789550342.6034472,22716,87.9,92176384,16
1789550344.8738036,22716,87.4,92176384,16
1789550347.1537824,22716,87.6,92180480,16
1789550349.4333313,22716,87.6,92180480,16
1789550351.6502743,22716,87.5,92180480,16
1789550353.9685743,22716,87.9,92184576,16
1789550356.0087852,22716,87.5,92184576,16
1789550358.0402176,22716,87.5,92184576,16
1789550360.2118776,22716,87.5,92184576,16
1789550362.4815836,22716,87.6,92184576,16
1789550364.7746465,22716,87.6,92184576,16
1789550367.0715463,22716,87.4,92188672,16
1789550369.3544197,22716,87.7,92188672,16
1789550371.6250052,22716,87.5,92188672,16
1789550373.9161596,22716,87.6,92188672,16
1789550376.1879454,22716,87.7,92188672,16
1789550378.2290792,22716,87.3,92188672,16
1789550380.52534,22716,87.7,92192768,16
1789550382.5776048,22716,87.4,92192768,16
1789550384.8705661,22716,87.8,92192768,16
1789550387.1469073,22716,87.4,92192768,16
1789550389.2545435,22716,87.7,92196864,16
1789550391.522618,22716,87.6,92196864,16
1789550393.8120797,22716,87.4,92196864,16
1789550396.121893,22716,87.6,92200960,16
1789550398.4107292,22716,87.6,92200960,16
1789550400.6711147,22716,87.6,92200960,16
1789550402.710849,22716,87.5,92200960,16
1789550405.0086555,22716,87.6,92200960,16
1789550407.291249,22716,87.5,92200960,16
1789550409.5716627,22716,87.5,92205056,16
1789550411.9091425,22716,87.5,92205056,16
1789550414.2026317,22716,87.8,92205056,16
1789550416.2434297,22716,87.4,92205056,16
1789550418.5289416,22716,87.6,92205056,16
1789550420.6345518,22716,87.7,92205056,16
1789550422.679553,22716,87.4,92217344,16
1789550424.927973,22716,87.5,92217344,16
1789550427.2126522,22716,87.5,92217344,16
1789550429.4976387,22716,87.6,92217344,16
1789550431.771172,22716,87.5,92217344,16
1789550434.0455127,22716,87.5,92225536,16
1789550436.3319666,22716,87.6,92229632,16
1789550438.605954,22716,87.6,92229632,16
1789550440.8837097,22716,87.5,92229632,16
1789550443.169387,22716,87.6,92229632,16
1789550445.4325857,22716,87.4,92229632,16
1789550447.7205002,22716,87.5,92229632,16
1789550450.016559,22716,87.5,92233728,16
1789550452.2726984,22716,87.6,92233728,16
1789550454.5432968,22716,87.5,92233728,16
1789550456.6468854,22716,87.6,92233728,16
1789550458.9204383,22716,87.6,92233728,16
1789550461.0539262,22716,87.4,92233728,16
1789550463.3438876,22716,87.7,92217344,16
1789550465.501863,22716,87.7,92217344,16
1789550467.7466135,22716,87.6,92217344,16
1789550469.9125283,22716,87.4,92217344,16
1789550472.2123063,22716,87.8,92217344,16
1789550474.4910738,22716,87.5,92217344,16
1789550476.710471,22716,87.7,92229632,16
1789550478.996048,22716,87.6,92229632,16
1789550481.284701,22716,87.6,92229632,16
1789550483.5700052,22716,87.7,92229632,16
1789550485.8700058,22716,87.5,92229632,16
1789550488.147764,22716,87.6,92229632,16
1789550490.488137,22716,87.6,92229632,16
1789550492.7923102,22716,87.6,92229632,16
1789550495.0659578,22716,87.7,92229632,16
1789550497.3415823,22716,87.5,92229632,16
1789550499.614162,22716,87.5,92229632,16
1789550501.890218,22716,87.5,92229632,16
1789550504.23283,22716,87.7,92229632,16
1789550506.5529246,22716,87.5,92229632,16
1789550508.8202014,22716,87.6,92229632,16
1789550511.0747318,22716,87.6,92229632,16
1789550513.2812765,22716,87.5,92229632,16
1789550515.5740936,22716,87.5,92229632,16
1789550517.8979137,22716,87.6,92229632,16
1789550520.1724179,22716,87.6,92295168,16
1789550522.4563994,22716,87.6,92295168,16
1789550524.7687266,22716,87.5,92295168,16
1789550527.0286133,22716,87.7,92295168,16
1789550529.3279672,22716,87.4,92295168,16
1789550531.5895908,22716,87.8,92295168,16
1789550533.772024,22716,87.5,92295168,16
1789550536.0498116,22716,87.6,92295168,16
1789550538.3153682,22716,87.5,92295168,16
1789550540.6161542,22716,87.5,92295168,16
1789550542.9041762,22716,87.6,92295168,16
1789550545.1914334,22716,87.7,92295168,16
1789550547.4637473,22716,87.5,92295168,16
1789550549.711819,22716,87.5,92295168,16
1789550551.977809,22716,87.5,92295168,16
1789550554.2602344,22716,87.6,92295168,16
1789550556.5862203,22716,87.6,92295168,16
1789550558.8815556,22716,87.5,92295168,16
1789550561.1721427,22716,87.6,92295168,16
1789550563.4544468,22716,87.5,92295168,16
1789550565.732049,22716,87.6,92295168,16
1789550568.0010345,22716,87.6,92295168,16
1789550570.315763,22716,87.6,92295168,16
1789550572.5639281,22716,87.7,92295168,16
1789550574.8319218,22716,87.5,92295168,16
1789550577.127598,22716,87.5,92295168,16
1789550579.3992198,22716,87.4,92295168,16
1789550581.8130085,22716,87.7,92295168,16
1789550584.0957472,22716,87.5,92295168,16
1789550586.263361,22716,87.6,92295168,16
1789550588.565386,22716,87.6,92295168,16
1789550590.8459866,22716,87.4,92295168,16
1789550593.1504345,22716,87.5,92295168,16
1789550595.4988723,22716,87.6,92295168,16
1789550597.7869833,22716,87.5,92295168,16
1789550600.0390062,22716,87.6,92295168,16
1789550602.318374,22716,87.5,92295168,16
1789550604.6170707,22716,87.6,92295168,16
1789550606.9185863,22716,87.6,92295168,16
1789550609.1831932,22716,87.5,92295168,16
1789550611.429542,22716,87.5,92360704,16
1789550613.6852663,22716,87.5,92360704,16
1789550615.995791,22716,87.6,92360704,16
1789550618.3093016,22716,87.6,92360704,16
1789550620.6006238,22716,87.4,92360704,16
1789550622.8822803,22716,87.6,92360704,16
1789550625.1982229,22716,87.5,92360704,16
1789550627.5015228,22716,87.5,92360704,16
1789550629.7507167,22716,87.6,92360704,16
1789550632.0249853,22716,87.5,92360704,16
1789550634.386645,22716,87.4,92360704,16
1789550636.756566,22716,87.5,92360704,16
1789550639.221917,22716,87.6,92360704,16
1789550641.5222304,22716,87.6,92360704,16
1789550643.8588748,22716,87.5,92360704,16
