shape,seed,complete_30s,theorem_conditions_hold_full_horizon,full_horizon_J_bound_status,condition_failure_frames,condition_failure_agent_indices,zero_input_with_rho_failure_count,H0,H_final,J_bar,E_bar,posthoc_J_bound,J_geometric_bound_M_umax2,posthoc_bound_below_geom,gradient_residual_bar,centroid2_bar,min_a_eff
l_shape,2,True,True,applicable_post_hoc,,,0,0.9753948396589078,0.16748454143999902,0.011079003412227678,0.00014538858737624783,0.030058640044240664,0.22951077763729585,True,0.012230059025341402,0.16994025710922686,2.1722222222222225
l_shape,5,True,True,applicable_post_hoc,,,0,0.9554571918060512,0.17694591330140397,0.01070690245392158,0.00014521425051823144,0.029446595134916403,0.22951077763729585,True,0.013344643207872466,0.19924491811076042,2.1722222222222225
l_shape,8,True,True,applicable_post_hoc,,,0,1.0296566246262293,0.16102542384197482,0.011517787118348012,0.00010628330475711184,0.0316908131098226,0.22951077763729585,True,0.011280728715453407,0.22743331225496302,2.1722222222222225
rectangle,2,True,True,applicable_post_hoc,,,0,0.8140302496679026,0.13138999451111555,0.008937062032089224,0.00010029238622640494,0.02506804524235674,0.18025060482900782,True,0.008593783028883873,0.18744248861597604,2.1722222222222225
rectangle,5,True,True,applicable_post_hoc,,,0,0.8262137250989208,0.12004583945538061,0.009104084258199016,0.00018570070791653755,0.025514364832190523,0.18025060482900782,True,0.008420804607245274,0.20150342681500338,2.1722222222222225
rectangle,8,True,True,applicable_post_hoc,,,0,0.8495022260159077,0.11998884800905507,0.00930386800256917,0.0001329242274950275,0.026184361852355717,0.18025060482900782,True,0.008305188588297948,0.20926865595942495,2.1722222222222225
c_shape,2,True,True,applicable_post_hoc,,,0,1.0789362278332495,0.17900372235819773,0.012009273647656556,0.0002188712735873518,0.03329867346531307,0.22951077763729574,True,0.01718489022175772,0.21837578202004748,2.1722222222222225
c_shape,5,True,False,inapplicable,241;242;243;244;245;246,14,6,1.0883969736651578,0.15770398179148337,0.01233612087914417,0.00014770692765298787,,0.22951077763729574,,0.01602533644643472,0.23572195669246482,2.1722222222222225
c_shape,8,True,True,applicable_post_hoc,,,0,1.1108776519996226,0.15866480621595436,0.012506724603201859,0.00026201603376713607,0.03431554752492756,0.22951077763729574,True,0.017539779863543357,0.25620854230316153,2.1722222222222225
