time,H,gradient2,centroid2,disturbance2,min_reference_mass,max_reference_mass,local_cvt_centroid2_partial,local_cvt_agents,gradient2_time_average,centroid2_time_average
0.0,0.9240623258876941,0.1051278550069673,3.22947732868408,1.7343718533100012,0.0005163414005043775,0.22175035167434398,2.8430746880628726,15,0.1051278550069673,3.22947732868408
0.25,0.8535695359878475,0.1105935960085258,2.9717453001268233,1.567424184748818,0.0005368387234430986,0.23604385814848747,2.6350345379994895,15,0.10786072550774654,3.1006113144054517
0.49999999999999994,0.7814710693753644,0.11258474761686996,2.6368361086033287,1.2976231502606157,0.0006026401163989449,0.24583774722416368,2.302388973355427,16,0.10972494866022221,2.952451009385264
0.7500000000000001,0.7109926147793009,0.11099243124264614,2.3079626947774905,1.0072220316370846,0.0007790091451415642,0.24816642591702529,1.8593490640273016,16,0.11041282891673415,2.7924338068203123
1.0000000000000002,0.6441538155614824,0.10580287960953097,2.0027413169572394,0.8036940926541761,0.00130160129299178,0.24275614127079315,1.5676912026004468,16,0.10990903554407275,2.6331633565820756
1.2500000000000004,0.580582660508212,0.09489901440180958,1.6874959214707044,0.42586710133501937,0.0013239802491862578,0.23317037391579415,1.5167419795758574,16,0.10799741783639226,2.4755544091084545
1.5000000000000007,0.5213938216605114,0.07598249845550788,1.356940533718986,0.4594843039590492,0.0013308974171506002,0.23380429011778,1.3707513608264776,16,0.10423797426843666,2.316665045522853
1.7500000000000009,0.4771354806721113,0.06761159434662692,1.111683865248866,0.40513759765026713,0.0013366319880787332,0.24402400020472426,1.115463328645236,16,0.09960355600166962,2.162043210374435
2.000000000000001,0.4329580407490714,0.06204527090628982,0.8992505645515199,0.2922297918336075,0.001369542179704275,0.24429807695778072,0.8825287778310802,16,0.09525666557976821,2.0174712109401547
2.25,0.39739990412011816,0.06285972311611339,0.7377039842003872,0.5505046683600614,0.001505594927052283,0.24940659666205514,0.7272465322775145,16,0.0916117579610386,1.8842496624330218
2.499999999999999,0.368123661779729,0.06718601251724127,0.6368794852819506,0.43282543809506113,0.0020442498023121283,0.26066560516836434,0.6436091830848475,16,0.08895286894660248,1.7645538696638368
2.7499999999999982,0.33932304359616516,0.06816477211416208,0.6026423555745157,0.04980787289001629,0.0036082503562057363,0.2722210889192347,0.6169760594682714,16,0.08701855288924787,1.6604817833696912
2.9999999999999973,0.310181623856558,0.0632834668124226,0.5714834595477676,0.1467978953069203,0.006715702639368519,0.27712121315777677,0.5904057395629261,16,0.08524401677041825,1.5710302103856457
3.2499999999999964,0.2842870737513059,0.05541270878466219,0.5155299590507513,0.310480874246548,0.01141441343585669,0.27653616286487837,0.5447708373976277,16,0.08325202223412011,1.4919899410713087
3.4999999999999956,0.26515917461758254,0.04665971320493872,0.48075351208757766,0.44228850493096816,0.017200695400725,0.2804642627826683,0.5264832719435419,16,0.08095089285988301,1.4210007835354415
3.7499999999999947,0.24693657125933854,0.03623125841945578,0.4414573888187995,0.19511739005577072,0.021987654870513754,0.2784370390647054,0.4743425829542718,16,0.07831719905670395,1.3570077613299578
3.999999999999994,0.23125394450888925,0.027861068225420893,0.3770885733632853,0.3645044726895041,0.025420711250500536,0.27174576546562135,0.4195804210788866,16,0.07542525932331236,1.297774337565026
4.249999999999993,0.2162092693201696,0.022076000507794916,0.2911119983597914,0.15344202378036764,0.028535885786961902,0.2580816742646805,0.31199386864670864,16,0.07245721667880034,1.2410876286412915
4.499999999999992,0.20479657148319874,0.018042814577668792,0.23179706048170065,0.13529326733635028,0.03149074044411734,0.24686038554303857,0.24934477779873515,16,0.0695462272823521,1.1866635675734836
