time,H,gradient2,centroid2,disturbance2,min_reference_mass,max_reference_mass,local_cvt_centroid2_partial,local_cvt_agents,gradient2_time_average,centroid2_time_average
0.0,0.9455830137249266,0.0818150669611475,2.801104036503623,1.2576342198191155,0.0008858093338554979,0.22758791583879812,2.385967853495615,14,0.0818150669611475,2.801104036503623
0.25,0.9021003355047214,0.08861396991200418,2.7398633598545175,0.9413736152130967,0.0011351246863189196,0.2344497819554203,2.51394454913903,16,0.08521451843657585,2.77048369817907
0.49999999999999994,0.8378369842524127,0.09812985955682467,2.583370995155389,0.7854535079184567,0.0011412254245997079,0.23466128757791443,2.3668280212388515,16,0.08929321658549515,2.716050437842012
0.7500000000000001,0.7752769664618094,0.10596762082922745,2.397347149937157,0.7010077764789042,0.0011113562073506735,0.2282524127587067,2.093663488008613,16,0.09354505778800545,2.640819982743432
1.0000000000000002,0.7035525097025458,0.11203878787842153,2.1322065989718326,0.7002061969271807,0.0010772230250533006,0.2174334038940025,1.9513616777869893,16,0.0974095944294602,2.546809205671198
1.2500000000000004,0.632771735936051,0.11550389501803887,1.850736092608035,0.443199118402028,0.001062083616957492,0.2027388733347317,1.7442876610376308,16,0.10068194383321422,2.435741633694945
1.5000000000000007,0.561822153307781,0.10780129351923466,1.5803080674823882,0.5377632883744068,0.0010525251763426268,0.20701517885919413,1.4880113503598755,16,0.1025103855724513,2.3157050414199896
1.7500000000000009,0.498309667267974,0.09577115467824956,1.3276438087436502,0.6085001122498873,0.0010773981162782954,0.2238663413739266,1.262403614270074,16,0.10240693393334999,2.1926008838047077
2.000000000000001,0.44384968461617147,0.08140419051313413,1.0970275076471177,0.4532406669592044,0.00121732471687874,0.22930030868224993,1.014066667667058,16,0.10067952626614272,2.0700677306035424
2.25,0.39691811669550403,0.0702026143769203,0.8891701099410992,0.2732649214677976,0.0016606301686620261,0.22607229751721702,0.7904458805623532,16,0.097915512508241,1.9504045170691613
2.499999999999999,0.3582556851832033,0.062392749448315396,0.7376364970817114,0.17101538835466581,0.0026943653843724317,0.22310371126195594,0.6979039645225541,16,0.0947537294486787,1.8367043957133862
2.7499999999999982,0.32679589253931096,0.0577453655518847,0.6264126594214701,0.055487212399194207,0.004134116820905198,0.21878429888343676,0.5796015566180831,16,0.09160057745335339,1.7317335032168597
2.9999999999999973,0.29652614257195975,0.054907444209363235,0.5192964854684639,0.12305385540659047,0.005760589589606275,0.21608847874868053,0.5099372733445006,16,0.0886610630722926,1.635160258985869
3.2499999999999964,0.2691635253082334,0.05213464137291023,0.42563824134534545,0.18812592784121043,0.007764653094259022,0.2245185830293032,0.43536241922621055,16,0.08595798458912678,1.5457223439413332
3.4999999999999956,0.24417300362412575,0.048418787179693425,0.33539948276972437,0.09521103284653097,0.010163404978322407,0.26183357413203173,0.3417605306374041,16,0.083409322423925,1.4624935238067767
