frame,H_star,J_k,E_k,grad_residual_k,centroid2_k,in_K0,qp_all_optimal,dissipation_slack_u_command
0,1.1108776519996226,0.04890469165278041,1.768160749149358e-07,0.03988376571926183,3.7511318208355293,1,1,-0.00040222981686999747
1,1.1022393440217573,0.052535187017797434,1.401191706553934e-07,0.044369712664916405,3.7796867094276467,1,1,-0.0004108827499484987
2,1.0930406258962826,0.05623330802070006,1.524847321364426e-07,0.04893753851464907,3.794795939126419,1,1,-0.00042312181539682844
3,1.083281432148814,0.0600083848215895,1.0027647499834178e-07,0.053584093823393394,3.7963403620612164,1,1,-0.00043154440262228345
4,1.0729673936674515,0.06386194254966882,6.775851769388223e-08,0.05828306153896187,3.7874566839431028,1,1,-0.00044193213041201877
5,1.0620981305978778,0.0677937705535698,7.921787165898231e-08,0.06301353166078591,3.7694055369944515,1,1,-0.0004482501295047861
6,1.0506801460723707,0.07179106677777716,9.739245191207989e-08,0.06773084256688,3.7427140442701976,1,1,-0.00045260500391947414
7,1.0387210069712896,0.07583246569874122,1.4357108727024388e-07,0.07237842770674474,3.7060155019786087,1,1,-0.0004551633475712996
8,1.0262329122408316,0.0799118251822861,1.2324698949134293e-07,0.07693846819619218,3.6615443089339843,1,1,-0.0004569553357404825
9,1.0132285057562158,0.08399851936237633,8.03501318781859e-08,0.08133109507444798,3.609055135855776,1,1,-0.00046307904694268924
10,0.9997225646063616,0.0881298884542755,1.1792176375843154e-07,0.08563051658943113,3.5519179744064977,1,1,-0.0004666002927062301
11,0.9857286110963395,0.09228465097897538,1.7275400482561117e-07,0.08977482654661056,3.4903590094561325,1,1,-0.0004695070135479814
12,0.9712629467068816,0.09646306317305581,1.0944621857544424e-07,0.09380560695164192,3.4224982789772276,1,1,-0.00047195995353900566
13,0.9563422051808713,0.10065946403404988,1.012016046694137e-07,0.09770495574918384,3.351665695595827,1,1,-0.0004736671872451817
14,0.9409842821637178,0.10487201719253339,1.0299515718728612e-07,0.10145593649882781,3.278606351109034,1,1,-0.0004769850994820867
15,0.925205357306705,0.10911094003238561,1.2115145928277464e-07,0.10510294527460681,3.203687819807212,1,1,-0.00047830089566301345
16,0.9090233508878859,0.11337897075554318,7.667376184505679e-08,0.10867519963859679,3.125303053039588,1,1,-0.0004775767529693435
17,0.8924555253034288,0.11765648089216554,6.967354346382508e-08,0.11216495714819576,3.045028289975483,1,1,-0.0004771618168561212
18,0.8755212462991054,0.12194755855192607,9.782881593921942e-08,0.1155498935820347,2.9640472114847256,1,1,-0.0004776725640221087
19,0.8582383812992032,0.12626694328540378,2.1089227904754913e-07,0.11888376788159125,2.882935664433118,1,1,-0.0004727367906149395
20,0.8406276202953102,0.13021109184605767,1.8746171181513085e-07,0.12199005777663377,2.798576657027671,1,1,-0.0004702816807812468
21,0.8227352814961069,0.13327172309962051,1.2615143772676787e-07,0.124968588772199,2.7124206391002916,1,1,-0.0004661498964337561
22,0.8046325732932997,0.1363339993799944,1.0671571763077417e-07,0.12783449546072112,2.6257236914011077,1,1,-0.0004602923621146865
23,0.7863421841681114,0.1386193207980927,1.3948011462054827e-07,0.13054973115846763,2.5389272073644182,1,1,-0.0004507092740031922
24,0.7679306508035693,0.14058294269945676,1.2332757466057502e-07,0.1329852123167254,2.449928999734681,1,1,-0.00044109282342889855
25,0.7494404149832284,0.1425587052835634,6.088330341669621e-08,0.13517556866072428,2.358615342001899,1,1,-0.0004362826397463562
26,0.7308895678027031,0.144585993675035,8.284219251614061e-08,0.13721582197949517,2.2669599608066027,1,1,-0.00043065631068037874
27,0.7122933123770911,0.14618933898622793,1.3001925157511767e-07,0.1390737996102849,2.176574624258107,1,1,-0.0004226275975340761
28,0.6936939158904517,0.14744884462187363,1.82301796212217e-07,0.14068838598086408,2.084812591373441,1,1,-0.0004061800673945126
