shape,seed,alpha,yaw_deg,diameter_m,perimeter_m,area_m2,mass_kg,object_reach_m,concavity_ratio,vertex_count,target_distance_m,shape_scale_factor,annulus_min_m,annulus_max_m,case_id,sampler_attempts,goal_angle_deg,J,J_over_diameter,target_over_diameter,J_over_target,efficiency,direction_error_deg,max_cross_track,max_cross_track_over_diameter,rotation_deg,max_strict_coverage,final_strict_coverage,min_inter_agent_distance,d_min,min_signed_clearance,max_penetration,penetration_budget,solver_fallbacks,solver_infeasible,barrier_scalings,min_barrier_scale,margin_relaxations,solves,first_detection_frame,contact_ready_frame,transport_frame,brake_frame,hold_frame,final_phase,frames_run,terminated_by,settled,completion_time_s,wall_seconds,fps,success,domain_eligible,finite_time_eligible,formal_caging,map_complete,runtime_map_gap_m,runtime_map_gap_required_m,runtime_domain_eligible,certified_inscribed_radius,required_boundary_agents,failure_class
l_shape,0,0.1,94.02441069197113,2.5455844122715705,7.199999999999998,2.05875,2.05875,1.320047119236101,0.2229299363057311,6,0.25455844122715704,1.5789473684210527,1.67,2.47,l_shape__a0.10__seed000,1,213.89921974319353,0.3272897267860631,0.1285715473461765,0.09999999999999999,1.285715473461765,0.9801410808290959,11.437649499557248,0.06641330244247882,0.026089609176705494,1.172484966592724,1.0,1.0,0.2802121058323278,0.28,0.09059748387722416,0.039402516122775844,0.10031075566405159,0,0,2,0.0234375,0,2736,0,94,108,123,131,HOLD,171,settled,True,8.55,5.762820200001443,29.672971577346313,False,True,False,False,True,0.033829416804496755,0.1,True,0.32443316770982533,12,CONTRACT_FAILURE
l_shape,1,0.1,207.4825206504869,2.545584412271571,7.199999999999999,2.0587499999999994,2.0587499999999994,1.320047119236072,0.22292993630573055,6,0.2545584412271571,1.5789473684210527,1.67,2.47,l_shape__a0.10__seed001,1,67.05487627201978,0.3042310943074114,0.11951326101809705,0.1,1.1951326101809705,0.9875109929146991,9.06472465940649,0.04854473041609614,0.019070171148941353,0.939562859423994,0.99375,0.99375,0.2823533713012021,0.28,0.08063511096067001,0.04936488903932999,0.09151890936066558,0,0,9,0.26953125,1,4480,0,122,129,220,240,HOLD,280,settled,True,14.0,9.533402199998818,29.370417205311522,False,True,False,False,True,0.033062221766751936,0.1,True,0.32443316770982195,12,CONTRACT_FAILURE
l_shape,2,0.1,173.9164002050729,2.545584412271571,7.199999999999999,2.05875,2.05875,1.3200471192360868,0.222929936305731,6,0.2545584412271571,1.5789473684210527,1.67,2.47,l_shape__a0.10__seed002,1,78.6348106982665,0.392739749607678,0.1542827445494977,0.1,1.5428274454949769,0.9988974037877776,2.690827086223736,0.023271529447560918,0.009141920156084865,-1.5349394875683395,1.0,0.98125,0.28000705482801724,0.28,0.08896068021536006,0.04103931978463994,0.08990426179638267,0,0,98,0.0,9,48000,0,100,,,,CONTACT_READY,3000,watchdog,False,150.0,107.39619159999893,27.93395143073239,False,True,False,False,True,0.03169375764620395,0.1,True,0.3244331677098252,12,TRANSPORT_NEVER_ARMED
l_shape,3,0.1,249.30444502135222,2.5455844122715705,7.1999999999999975,2.058749999999999,2.058749999999999,1.3200471192360852,0.22292993630573066,6,0.25455844122715704,1.5789473684210527,1.67,2.47,l_shape__a0.10__seed003,1,30.576349067927193,0.29422206863126144,0.11558134439105489,0.09999999999999999,1.155813443910549,0.9986310273047811,2.9983655575597963,0.015411109096322456,0.006054055415341832,0.0,0.98125,0.975,0.28000237227342406,0.28,0.08028346329221024,0.04971653670778976,0.0920267542430124,0,0,51,0.0703125,4,3984,0,134,148,190,208,HOLD,249,settled,True,12.450000000000001,8.034216899999592,30.992441839603888,False,True,False,False,True,0.03735108384690196,0.1,True,0.32443316770982195,12,CONTRACT_FAILURE
l_shape,4,0.1,229.01050601925087,2.5455844122715705,7.199999999999998,2.058749999999998,2.058749999999998,1.3200471192360732,0.2229299363057311,6,0.25455844122715704,1.5789473684210527,1.67,2.47,l_shape__a0.10__seed004,1,157.4812119101344,0.3470385914511276,0.13632963408251123,0.09999999999999999,1.3632963408251122,0.9999358416676581,0.6490325616196008,0.045957891417033776,0.018053964816677568,2.625560740850959,1.0,1.0,0.2801790403381904,0.28,0.0829495618800927,0.047050438119907306,0.09167169011738696,0,0,0,1.0,0,4176,0,137,157,184,200,HOLD,261,settled,True,13.05,8.855215999999928,29.47415399014571,True,True,False,False,True,0.027682171704114942,0.1,True,0.3244331677098255,12,SUCCESS
l_shape,0,0.4,94.02441069197113,2.5455844122715705,7.199999999999998,2.05875,2.05875,1.320047119236101,0.2229299363057311,6,1.0182337649086282,1.5789473684210527,1.67,2.47,l_shape__a0.40__seed000,1,213.89921974319353,1.2702328693861946,0.4989945975716803,0.39999999999999997,1.2474864939292007,0.9944953059265027,6.014557027381493,0.14397849874182495,0.056560096003001804,1.3287465364882716,0.9875,0.9875,0.29067571309522006,0.28,0.05916781426800013,0.07083218573199987,0.09977045962029207,0,0,0,1.0,0,3712,0,94,108,164,191,HOLD,232,settled,True,11.600000000000001,8.030553199998394,28.889666031979765,True,True,False,False,True,0.0324632912458817,0.1,True,0.32443316770982533,12,SUCCESS
l_shape,1,0.4,207.4825206504869,2.545584412271571,7.199999999999999,2.0587499999999994,2.0587499999999994,1.320047119236072,0.22292993630573055,6,1.0182337649086284,1.5789473684210527,1.67,2.47,l_shape__a0.40__seed001,1,67.05487627201978,1.1963673634003091,0.4699774863614607,0.4,1.1749437159036518,0.9742009138238246,13.043013380514196,0.28801624194929026,0.11314346543011584,1.1378636177110961,1.0,1.0,0.2803936993702439,0.28,0.08063511096067001,0.04936488903932999,0.0954510526478648,0,0,14,0.26953125,4,9968,0,122,129,361,583,HOLD,623,settled,True,31.150000000000002,22.051583700000265,28.251939111293513,False,True,False,False,True,0.0329369745752995,0.1,True,0.32443316770982195,12,CONTRACT_FAILURE
l_shape,2,0.4,173.9164002050729,2.545584412271571,7.199999999999999,2.05875,2.05875,1.3200471192360868,0.222929936305731,6,1.0182337649086284,1.5789473684210527,1.67,2.47,l_shape__a0.40__seed002,1,78.6348106982665,1.1836334842322116,0.4649751461889207,0.4,1.1624378654723018,0.9989774555075269,2.5912884020561338,0.05858095185358342,0.023012771280017493,-0.04316228921443279,1.0,1.0,0.28181596800639896,0.28,0.07958986813376488,0.05041013186623512,0.0920961698363088,0,0,7,0.56640625,0,13920,0,100,689,689,830,HOLD,870,settled,True,43.5,30.440284400001474,28.58054769028235,False,True,False,False,True,0.03427334835873996,0.1,True,0.3244331677098252,12,CONTRACT_FAILURE
l_shape,3,0.4,249.30444502135222,2.5455844122715705,7.1999999999999975,2.058749999999999,2.058749999999999,1.3200471192360852,0.22292993630573066,6,1.0182337649086282,1.5789473684210527,1.67,2.47,l_shape__a0.40__seed003,1,30.576349067927193,1.2395472511139187,0.4869401482576647,0.39999999999999997,1.2173503706441617,0.9716015376523165,13.687313382348977,0.3018782891266637,0.1185889918524762,0.2631077891646596,1.0,1.0,0.280253494154293,0.28,0.07646856290818237,0.05353143709181764,0.09584704859810045,0,0,66,0.0703125,2,8512,0,134,148,336,481,HOLD,532,settled,True,26.6,19.64047749999918,27.08691782060911,False,True,False,False,True,0.029724655921148816,0.1,True,0.32443316770982195,12,CONTRACT_FAILURE
l_shape,4,0.4,229.01050601925087,2.5455844122715705,7.199999999999998,2.058749999999998,2.058749999999998,1.3200471192360732,0.2229299363057311,6,1.0182337649086282,1.5789473684210527,1.67,2.47,l_shape__a0.40__seed004,1,157.4812119101344,1.2651230550272885,0.4969872729140209,0.39999999999999997,1.2424681822850523,0.9967363461333991,4.6302864883414,0.1024624846397898,0.04025106539223214,2.5886341015700762,1.0,1.0,0.2801790403381904,0.28,0.08000656683069785,0.04999343316930216,0.09844254589828562,0,0,0,1.0,0,5488,0,137,157,252,283,HOLD,343,settled,True,17.150000000000002,12.199457900000198,28.116003416839895,True,True,False,False,True,0.029613767149831334,0.1,True,0.3244331677098255,12,SUCCESS
l_shape,0,0.8,94.02441069197113,2.5455844122715705,7.199999999999998,2.05875,2.05875,1.320047119236101,0.2229299363057311,6,2.0364675298172563,1.5789473684210527,1.67,2.47,l_shape__a0.80__seed000,1,213.89921974319353,2.63411211703366,1.0347769668667524,0.7999999999999999,1.2934712085834406,0.9999710097373843,0.4362794472307817,0.14397849874182495,0.056560096003001804,0.17760907468629986,0.90625,0.8875,0.29067571309522006,0.28,0.04855325654942365,0.08144674345057636,0.10580839067877726,0,0,0,1.0,0,4960,0,94,108,217,269,HOLD,310,settled,True,15.5,11.546323999999004,26.848371828127007,True,True,False,False,True,0.03531272900105088,0.1,True,0.32443316770982533,12,SUCCESS
l_shape,1,0.8,207.4825206504869,2.545584412271571,7.199999999999999,2.0587499999999994,2.0587499999999994,1.320047119236072,0.22292993630573055,6,2.0364675298172568,1.5789473684210527,1.67,2.47,l_shape__a0.80__seed001,1,67.05487627201978,2.440582204948848,0.9587512373125261,0.8,1.1984390466406576,0.9897160562060249,8.224137628146522,0.3556044176778196,0.13969460842215536,0.5453871138319444,1.0,1.0,0.2818969326624623,0.28,0.08063511096067001,0.04936488903932999,0.09548279133371082,0,0,38,0.26953125,2,24592,0,122,129,642,1497,HOLD,1537,settled,True,76.85000000000001,56.28229179999835,27.308767124512247,False,True,False,False,True,0.03346799112007333,0.1,True,0.32443316770982195,12,CONTRACT_FAILURE
l_shape,2,0.8,173.9164002050729,2.545584412271571,7.199999999999999,2.05875,2.05875,1.3200471192360868,0.222929936305731,6,2.0364675298172568,1.5789473684210527,1.67,2.47,l_shape__a0.80__seed002,1,78.6348106982665,2.317684339287176,0.9104723960887918,0.8,1.1380904951109898,0.999949795154782,0.5741326741585264,0.07893111874990333,0.031007071841498497,-3.7060679949201183,1.0,0.99375,0.280250986837681,0.28,0.07747197577551768,0.05252802422448233,0.09718197377775936,0,0,10,0.79296875,2,36464,0,100,844,1288,2239,HOLD,2279,settled,True,113.95,81.35574519999864,28.012772723026305,False,True,False,False,True,0.03205994966112223,0.1,True,0.3244331677098252,12,CONTRACT_FAILURE
l_shape,3,0.8,249.30444502135222,2.5455844122715705,7.1999999999999975,2.058749999999999,2.058749999999999,1.3200471192360852,0.22292993630573066,6,2.0364675298172563,1.5789473684210527,1.67,2.47,l_shape__a0.80__seed003,1,30.576349067927193,2.5819095562919014,1.0142698642579744,0.7999999999999999,1.2678373303224681,0.9365880930722918,20.51375416377217,0.9660429336728662,0.37949750517635,0.32707877349799314,1.0,1.0,0.280253494154293,0.28,0.07646856290818237,0.05353143709181764,0.09590021359538406,0,0,60,0.0703125,2,11312,0,134,148,518,667,HOLD,707,settled,True,35.35,25.97171039999921,27.221926823888406,False,True,False,False,True,0.038187840599308354,0.1,True,0.32443316770982195,12,CONTRACT_FAILURE
l_shape,4,0.8,229.01050601925087,2.5455844122715705,7.199999999999998,2.058749999999998,2.058749999999998,1.3200471192360732,0.2229299363057311,6,2.0364675298172563,1.5789473684210527,1.67,2.47,l_shape__a0.80__seed004,1,157.4812119101344,2.542531803013168,0.9988008218294837,0.7999999999999999,1.2485010272868546,0.997989857178544,3.633489121035284,0.16145457797009233,0.0634253482979247,2.5886341015700762,0.9875,0.96875,0.2801790403381904,0.28,0.0829495618800927,0.047050438119907306,0.10075927833736514,0,0,0,1.0,0,6544,0,137,157,309,368,HOLD,409,settled,True,20.450000000000003,14.917164999998931,27.41807843514698,True,True,False,False,True,0.03194238899762652,0.1,True,0.3244331677098255,12,SUCCESS
