shape,seed,grid_resolution,complete_30s,abort_reason,theorem_conditions_hold_full_horizon,full_horizon_J_bound_status,condition_failure_frames,condition_failure_agent_indices,zero_input_with_rho_failure_count,H0,H_final,J_bar,E_bar,gradient_residual_bar,centroid2_bar,B_E_rigorous,B_E_numerical_a_priori,B_E_diameter,posthoc_J_bound,B_J_prior_P0H_rigorousE,B_J_prior_numerical_a_priori,B_J_geom,posthoc_bound_below_geom,prior_beats_geom_certificate,prior_beats_geom_numerical,wall_seconds,config_sha256,code_sha
c_shape,2,20,True,,True,applicable_post_hoc,,,0,1.0789362278332495,0.17897153678085065,0.011969533488758493,1.6833758631090131e-07,0.01715983936014767,0.21721193598108576,0.18986273738010534,0.12979652874781136,4.7963068632773656,0.033113275014846795,0.1940632585189051,0.14314404266641004,0.22951077763729574,True,True,True,1790.2792375999998,1b2ada992063b5326bb12fb8af63aaac5bc06eae07f98f6e42a43c1f5bacb154,7b9fb36d94ffba572881c11b8050d1d4cee2811d
c_shape,5,20,True,,False,inapplicable,228;229;230;231;232,14,5,1.0883969736651578,0.15748453419094455,0.012327830785978941,4.505300680514786e-08,0.015807613429609686,0.23422767390036336,0.18986273738010534,0.13042734100868805,4.7963068632773656,,0.19435366740645088,0.1439692025629734,0.22951077763729574,,True,True,1826.6961814000024,1b2ada992063b5326bb12fb8af63aaac5bc06eae07f98f6e42a43c1f5bacb154,7b9fb36d94ffba572881c11b8050d1d4cee2811d
c_shape,8,20,True,,True,applicable_post_hoc,,,0,1.1108776519996226,0.1630250608859396,0.012439089571996208,6.906090919226066e-08,0.017046139000047093,0.2469871744639506,0.18986273738010534,0.130546785282867,4.7963068632773656,0.03409349031911134,0.1950436584530691,0.14476044868990634,0.22951077763729574,True,True,True,1880.935381000003,1b2ada992063b5326bb12fb8af63aaac5bc06eae07f98f6e42a43c1f5bacb154,7b9fb36d94ffba572881c11b8050d1d4cee2811d
l_shape,2,20,True,,True,applicable_post_hoc,,,0,0.9753948396589078,0.1559569423502687,0.011319304828732708,1.0925834259903797e-07,0.01204649335745429,0.17443999403295798,0.1786734123833937,0.12199183378060366,4.796306863277367,0.029935484118764243,0.18140027541964415,0.13335027190762114,0.22951077763729585,True,True,True,1566.6824861999994,15ad45f8f12badfa7ec778ca5e0bbab2f98ce5c4a17dce1bdf64a1128069f0a1,7b9fb36d94ffba572881c11b8050d1d4cee2811d
l_shape,5,20,True,,True,applicable_post_hoc,,,0,0.9554571918060512,0.17689993680496818,0.01077261405356365,4.966388729158071e-08,0.01336999731986148,0.1979203947438022,0.1786734123833937,0.12346632854602409,4.796306863277367,0.029323536478658464,0.18078828940206093,0.1339882418793269,0.22951077763729585,True,True,True,1716.3979962999983,15ad45f8f12badfa7ec778ca5e0bbab2f98ce5c4a17dce1bdf64a1128069f0a1,7b9fb36d94ffba572881c11b8050d1d4cee2811d
l_shape,8,20,True,,True,applicable_post_hoc,,,0,1.0296566246262293,0.16026364643590973,0.011530132495463523,6.832329166900337e-08,0.011131944132328578,0.22596663016476956,0.1786734123833937,0.12387020090338419,4.796306863277367,0.031600772741183454,0.1830656181202771,0.13660794052914915,0.22951077763729585,True,True,True,1823.3625348999994,15ad45f8f12badfa7ec778ca5e0bbab2f98ce5c4a17dce1bdf64a1128069f0a1,7b9fb36d94ffba572881c11b8050d1d4cee2811d
rectangle,2,20,True,,True,applicable_post_hoc,,,0,0.8140302496679026,0.13129752609380108,0.008916418947569671,1.161855764159445e-07,0.008578720153785472,0.18660580048034006,0.13524073132695896,0.08955210804318627,3.7668697825490614,0.024983124057878364,0.13962908664922927,0.10089801099184256,0.18025060482900776,True,True,True,1333.567431899999,75e918328ae534991549ac06baf365cc3a87ed7b99ddae02c789ef537dc719d0,7b9fb36d94ffba572881c11b8050d1d4cee2811d
rectangle,5,20,True,,True,applicable_post_hoc,,,0,0.8262137250989208,0.11954494858512199,0.009100651621714233,2.478713232638128e-08,0.00833975339784748,0.2005188784832119,0.13524073132695896,0.09026936406770288,3.7668697825490614,0.02535696398229005,0.14000305664673268,0.10188001194660914,0.18025060482900776,True,True,True,1486.6535702,75e918328ae534991549ac06baf365cc3a87ed7b99ddae02c789ef537dc719d0,7b9fb36d94ffba572881c11b8050d1d4cee2811d
rectangle,8,20,True,,True,applicable_post_hoc,,,0,0.8495022260159077,0.12452195222641016,0.009219490744873972,4.252395615288613e-08,0.008221014358935285,0.20348434123121778,0.13524073132695896,0.09039370972169872,3.7668697825490614,0.026071715619150556,0.14071784011505054,0.10270020548392092,0.18025060482900776,True,True,True,1409.9839199999988,75e918328ae534991549ac06baf365cc3a87ed7b99ddae02c789ef537dc719d0,7b9fb36d94ffba572881c11b8050d1d4cee2811d
