shape,seed,grid_resolution,complete_30s,abort_reason,theorem_conditions_hold_full_horizon,full_horizon_J_bound_status,condition_failure_frames,condition_failure_agent_indices,zero_input_with_rho_failure_count,H0,H_final,J_bar,E_bar,gradient_residual_bar,centroid2_bar,B_E_rigorous,B_E_numerical_a_priori,B_E_diameter,posthoc_J_bound,B_J_prior_P0H_rigorousE,B_J_prior_numerical_a_priori,B_J_geom,posthoc_bound_below_geom,prior_beats_geom_certificate,prior_beats_geom_numerical,wall_seconds,config_sha256,code_sha
c_shape,2,20,True,,True,applicable_post_hoc,,,0,1.0789362278332497,0.17724130968369733,0.012001506502053554,1.7163567524966307e-07,0.0166496422227156,0.21387805255335923,0.18145941735036453,0.12139320871807119,4.7963068632773656,0.03311327781069669,0.18693961152644425,0.13602039567394975,0.22951077763729574,True,True,True,3642.751732899982,1b2ada992063b5326bb12fb8af63aaac5bc06eae07f98f6e42a43c1f5bacb154,aa3479d883f6a61368633dc1c53b00423e901ba4
c_shape,5,20,True,,True,applicable_post_hoc,,,0,1.0883969736651578,0.15597883095409992,0.01235495768279319,4.387060425752137e-08,0.014954144431761527,0.22969204056649797,0.18145941735036453,0.12202402097894816,4.7963068632773656,0.033403524872726055,0.18723002041399003,0.13684555557051334,0.22951077763729574,True,True,True,3850.348024200008,1b2ada992063b5326bb12fb8af63aaac5bc06eae07f98f6e42a43c1f5bacb154,aa3479d883f6a61368633dc1c53b00423e901ba4
c_shape,8,20,True,,True,applicable_post_hoc,,,0,1.1108776519996226,0.15967085474279452,0.01248056147281321,6.689191517847892e-08,0.015141952654834142,0.2386816353938579,0.18145941735036453,0.12214346525312669,4.7963068632773656,0.034093488480415726,0.18792001146060822,0.13763680169744588,0.22951077763729574,True,True,True,3726.0508048000047,1b2ada992063b5326bb12fb8af63aaac5bc06eae07f98f6e42a43c1f5bacb154,aa3479d883f6a61368633dc1c53b00423e901ba4
c_shape,11,20,True,,True,applicable_post_hoc,,,0,1.1264927463748642,0.16717429697937614,0.012575629749836536,8.22882874460609e-08,0.015087815516530382,0.23857865739055006,0.18145941735036453,0.1207930122101583,4.7963068632773656,0.03457273716519983,0.18839911214451663,0.1369710988127702,0.22951077763729574,True,True,True,3754.4330585999996,1b2ada992063b5326bb12fb8af63aaac5bc06eae07f98f6e42a43c1f5bacb154,aa3479d883f6a61368633dc1c53b00423e901ba4
c_shape,17,20,True,,True,applicable_post_hoc,,,0,1.050688533566167,0.165494953733742,0.01202795781782627,8.442708628368154e-08,0.018068511516707107,0.20771678773191382,0.18145941735036453,0.12068883078625105,4.7963068632773656,0.03224626697393946,0.18607264115587022,0.13455631133915588,0.22951077763729574,True,True,True,3800.4570880000247,1b2ada992063b5326bb12fb8af63aaac5bc06eae07f98f6e42a43c1f5bacb154,aa3479d883f6a61368633dc1c53b00423e901ba4
c_shape,23,20,True,,True,applicable_post_hoc,,,0,1.0426198867940144,0.16528372602793384,0.01181419111350277,4.246994266668653e-08,0.015174844892698174,0.17904283951605607,0.18145941735036453,0.12081506637073372,4.7963068632773656,0.03199860030312521,0.18582511589819373,0.1344157982788679,0.22951077763729574,True,True,True,3804.489346699964,1b2ada992063b5326bb12fb8af63aaac5bc06eae07f98f6e42a43c1f5bacb154,aa3479d883f6a61368633dc1c53b00423e901ba4
c_shape,29,20,True,,True,applicable_post_hoc,,,0,1.0768889667386405,0.1492724877215712,0.012513930758995827,6.913913372761529e-08,0.01609514712129915,0.2126428416338394,0.18145941735036453,0.1218107775601778,4.7963068632773656,0.03305035937997156,0.18687677433438787,0.1363115391723455,0.22951077763729574,True,True,True,3721.2639976000064,1b2ada992063b5326bb12fb8af63aaac5bc06eae07f98f6e42a43c1f5bacb154,aa3479d883f6a61368633dc1c53b00423e901ba4
c_shape,31,20,True,,True,applicable_post_hoc,,,0,1.0963250749218498,0.20353452315056042,0.011821596938111635,2.082864314880017e-07,0.032216390503001735,0.24746568121261306,0.18145941735036453,0.12031143168274921,4.7963068632773656,0.03364698193663595,0.18747342521295637,0.1356371673226826,0.22951077763729574,True,True,True,3790.7637731999857,1b2ada992063b5326bb12fb8af63aaac5bc06eae07f98f6e42a43c1f5bacb154,aa3479d883f6a61368633dc1c53b00423e901ba4
c_shape,37,20,True,,True,applicable_post_hoc,,,0,1.046714219348681,0.1678403813796776,0.011923556082378455,2.000649685419776e-07,0.015690293797831333,0.20389208214587926,0.18145941735036453,0.12075724951977589,4.7963068632773656,0.0321243911643954,0.18595081697379456,0.1344924869599649,0.22951077763729574,True,True,True,3764.077675199951,1b2ada992063b5326bb12fb8af63aaac5bc06eae07f98f6e42a43c1f5bacb154,aa3479d883f6a61368633dc1c53b00423e901ba4
l_shape,2,20,True,,True,applicable_post_hoc,,,0,0.9753948396589078,0.15257079660359985,0.011369917462162675,8.434294596807611e-08,0.01171607697160048,0.17676746270653046,0.1702700923536529,0.11358851375086357,4.796306863277367,0.029935462997530058,0.17427662842718328,0.1262266249151609,0.22951077763729585,True,True,True,3530.178037100006,15ad45f8f12badfa7ec778ca5e0bbab2f98ce5c4a17dce1bdf64a1128069f0a1,aa3479d883f6a61368633dc1c53b00423e901ba4
