alpha,seed,diameter_m,target_distance_m,sampler_attempts,goal_angle_deg,success,failure_reasons,J,J_over_diameter,J_over_target,efficiency,direction_error_deg,max_cross_track,max_cross_track_over_diameter,implied_direction_gate_deg,rotation_deg,max_strict_coverage,final_strict_coverage,min_inter_agent_distance,d_min,min_signed_clearance,max_penetration,penetration_budget,barrier_scalings,margin_relaxations,solver_fallbacks,solver_infeasible,solves,first_detection_frame,contact_ready_frame,transport_frame,brake_frame,hold_frame,final_phase,frames_run,terminated_by,settled,completion_time_s,fps
0.2,10,2.5455844122715714,0.5091168824543143,1,2.949873175959752,True,,0.5787211392612464,0.2273431344375731,1.1367156721878655,0.9981555891546182,3.480432680321019,0.03519772453902606,0.013826972057711929,15.02213501844502,0.0,1.0,1.0,0.28699240371578816,0.28,0.09562518112073626,0.03437481887926375,0.09412919524382102,0,0,0,0,4288,0,69,211,211,228,HOLD,268,settled,True,13.4,20.726734051549272
0.2,11,2.5455844122715714,0.5091168824543143,1,35.98273540288894,True,,0.6611669825272836,0.25973092046760543,1.298654602338027,0.9961541366085036,5.02659438469626,0.05815386422980939,0.022844995416166677,13.112958426910287,-0.19743135993145314,0.975,0.975,0.29319798416759985,0.28,0.08523057075517697,0.044769429244823036,0.09768185830645212,0,0,0,0,3088,0,76,77,132,152,HOLD,193,settled,True,9.65,19.73912566964741
0.4,0,2.5455844122715714,1.0182337649086286,1,213.89921974319353,True,,1.346215009571155,0.5288432012238203,1.3221080030595507,0.984394482906465,10.135451911339487,0.3404409028831905,0.13373781723443046,6.397381117572416,-0.023071859196810963,1.0,1.0,0.2959161371533816,0.28,0.07008366037832378,0.05991633962167622,0.10415473839639403,0,0,0,0,3760,0,123,124,165,194,HOLD,235,settled,True,11.75,20.488318049281588
0.4,1,2.5455844122715714,1.0182337649086286,1,67.05487627201978,False,"G500: 10 scaled-barrier event(s), smallest factor 0.438; the contract allows 0",1.3315978466095615,0.523101037306125,1.3077525932653125,0.985714485760239,9.696253000947374,0.22752456174810481,0.08938008916587903,6.467904372290209,0.0,0.8625,0.8625,0.2820756301037018,0.28,0.09312712255762134,0.03687287744237866,0.10167710954851794,10,0,0,0,3264,0,67,72,132,163,HOLD,204,settled,True,10.200000000000001,20.61717388754872
0.4,2,2.5455844122715714,1.0182337649086286,1,78.6348106982665,False,"G500: 3 scaled-barrier event(s), smallest factor 0.676; the contract allows 0",1.1721317179716533,0.4604568256786632,1.1511420641966579,0.9990670565969413,2.475135900496053,0.07640668206340334,0.030015379452776138,7.352415643573652,0.0,1.0,1.0,0.28011723030242597,0.28,0.09606842896755838,0.033931571032441626,0.09383399742929004,3,0,0,0,6112,0,81,146,264,342,HOLD,382,settled,True,19.1,19.56933097114132
0.4,3,2.5455844122715714,1.0182337649086286,1,30.576349067927193,False,"G500: 27 scaled-barrier event(s), smallest factor 0.211; the contract allows 0",1.3304798836998664,0.5226618599980358,1.3066546499950895,0.9918386274762765,7.3251250633941645,0.17103144717908758,0.06718749783137869,6.473362394586931,0.0,0.925,0.91875,0.2826130913139887,0.28,0.07714394082985088,0.05285605917014913,0.09964439526649198,27,0,0,0,3984,0,77,78,175,208,HOLD,249,settled,True,12.450000000000001,19.585176676659202
0.4,4,2.5455844122715714,1.0182337649086286,1,157.4812119101344,True,,1.2690761215170856,0.4985401840925856,1.2463504602314641,0.9921779873398113,7.171010896527404,0.15966929619762715,0.06272402338256976,6.788012702107442,-0.1702820056863433,0.9875,0.9875,0.2800244140745995,0.28,0.07710088030603873,0.05289911969396127,0.09973895424328047,0,0,0,0,3888,0,82,118,172,202,HOLD,243,settled,True,12.15,20.84469176027773
0.4,5,2.5455844122715714,1.0182337649086286,1,96.09942625178446,True,,1.3102631519018653,0.5147199776937046,1.2867999442342613,0.9990154937980839,2.542626068418864,0.05818400503807811,0.022856835843898485,6.573680454798278,0.032720162551813245,1.0,1.0,0.28067837550651015,0.28,0.07281541440004416,0.057184585599955845,0.09672894564952028,0,0,0,0,7584,0,73,223,358,393,HOLD,474,settled,True,23.700000000000003,20.23479499873124
0.4,6,2.5455844122715714,1.0182337649086286,1,275.9430288965318,True,,1.2367587119303765,0.4858447066097272,1.214611766524318,0.9999623620287735,0.4971095372881105,0.027275310474909314,0.010714753886542692,6.966256288502768,0.0,1.0,1.0,0.2805265556863271,0.28,0.09789385526827576,0.03210614473172424,0.09668513624373137,0,0,0,0,6880,0,148,297,358,390,HOLD,430,settled,True,21.5,20.782990265050174
0.4,7,2.5455844122715714,1.0182337649086286,1,201.32050447239965,True,,1.3086388160960694,0.5140818783252588,1.285204695813147,0.992496731564069,7.02319616541748,0.16121845821353176,0.06333259169734907,6.58187603451478,0.02158473993833721,0.975,0.975,0.2826838823451889,0.28,0.08366917888693515,0.04633082111306486,0.09998242324913467,0,0,0,0,4080,0,72,109,153,181,HOLD,255,settled,True,12.75,18.63086697599705
