frame,time,delta_H,rhs_u_command,slack_u_command,rhs_u_saturated,slack_u_saturated,rhs_u_cvt,slack_u_cvt
129,6.45,-0.00013982256320410613,-0.00013950114850487183,-3.214146992343021e-07,-0.00013950114850487183,-3.214146992343021e-07,-0.00013950114850487183,-3.214146992343021e-07
130,6.5,-0.0001367914832781647,-0.00013947020837255038,2.6787250943856745e-06,-0.00013947020837255038,2.6787250943856745e-06,-0.00013947020837255038,2.6787250943856745e-06
131,6.550000000000001,-0.0001440510196168976,-0.00013786148689970556,-6.189532717192032e-06,-0.00013786148689970556,-6.189532717192032e-06,-0.00013786148689970556,-6.189532717192032e-06
132,6.6000000000000005,-0.0001462462964708644,-0.00013594760503644134,-1.0298691434423065e-05,-0.00013594760503644134,-1.0298691434423065e-05,-0.00013594760503644134,-1.0298691434423065e-05
133,6.65,-0.0001369406602956813,-0.00013399146896432557,-2.9491913313557357e-06,-0.00013399146896432557,-2.9491913313557357e-06,-0.00013399146896432557,-2.9491913313557357e-06
134,6.7,-0.00013882822710620246,-0.00013052038243740053,-8.30784466880193e-06,-0.00013052038243740053,-8.30784466880193e-06,-0.00013052038243740053,-8.30784466880193e-06
135,6.75,-0.00013701236710050857,-0.00013146059360102678,-5.551773499481793e-06,-0.00013146059360102678,-5.551773499481793e-06,-0.00013146059360102678,-5.551773499481793e-06
136,6.800000000000001,-0.00013479378004843667,-0.00012850883943186397,-6.284940616572705e-06,-0.00012850883943186397,-6.284940616572705e-06,-0.00012850883943186397,-6.284940616572705e-06
137,6.8500000000000005,-0.0001210256991883707,-0.00012704900318975164,6.023304001380946e-06,-0.00012704900318975164,6.023304001380946e-06,-0.00012704900318975164,6.023304001380946e-06
138,6.9,-0.00012269335724224284,-0.00012595138336914192,3.2580261268990807e-06,-0.00012595138336914192,3.2580261268990807e-06,-0.00012595138336914192,3.2580261268990807e-06
139,6.95,-0.00012897491761520996,-0.00012431607937025225,-4.6588382449577075e-06,-0.00012431607937025225,-4.6588382449577075e-06,-0.00012431607937025225,-4.6588382449577075e-06
140,7.0,-0.00012074024564467933,-0.00012068965308245852,-5.059256222080953e-08,-0.00012068965308245852,-5.059256222080953e-08,-0.00012068965308245852,-5.059256222080953e-08
141,7.050000000000001,-0.00012150748498696018,-0.0001198273391285122,-1.6801458584479842e-06,-0.0001198273391285122,-1.6801458584479842e-06,-0.0001198273391285122,-1.6801458584479842e-06
142,7.1000000000000005,-0.0001161381464921396,-0.00011631375229699569,1.7560580485608598e-07,-0.00011631375229699569,1.7560580485608598e-07,-0.00011631375229699569,1.7560580485608598e-07
143,7.15,-0.00012167004679997095,-0.0001133030463519379,-8.36700044803306e-06,-0.0001133030463519379,-8.36700044803306e-06,-0.0001133030463519379,-8.36700044803306e-06
144,7.2,-0.00011742115978596868,-0.00010970979926427094,-7.711360521697736e-06,-0.00010970979926427094,-7.711360521697736e-06,-0.00010970979926427094,-7.711360521697736e-06
145,7.25,-0.00011734819470132773,-0.00010978320878834585,-7.564985912981881e-06,-0.00010978320878834585,-7.564985912981881e-06,-0.00010978320878834585,-7.564985912981881e-06
146,7.300000000000001,-0.00010150789979612718,-0.00010412105809648293,2.613158300355758e-06,-0.00010412105809648293,2.613158300355758e-06,-0.00010412105809648293,2.613158300355758e-06
147,7.3500000000000005,-9.770083523563677e-05,-9.845946159118994e-05,7.586263555531665e-07,-9.845946159118994e-05,7.586263555531665e-07,-9.845946159118994e-05,7.586263555531665e-07
148,7.4,-0.00010028823208263482,-9.627840726439235e-05,-4.009824818242469e-06,-9.627840726439235e-05,-4.009824818242469e-06,-9.627840726439235e-05,-4.009824818242469e-06
149,7.45,-9.497168837091507e-05,-9.467019039680333e-05,-3.0149797411174403e-07,-9.467019039680333e-05,-3.0149797411174403e-07,-9.467019039680333e-05,-3.0149797411174403e-07
150,7.5,-9.653852835012078e-05,-9.373361158668424e-05,-2.804916763436536e-06,-9.373361158668424e-05,-2.804916763436536e-06,-9.373361158668424e-05,-2.804916763436536e-06
151,7.550000000000001,-8.751442768095696e-05,-9.207315464694927e-05,4.558726965992306e-06,-9.207315464694927e-05,4.558726965992306e-06,-9.207315464694927e-05,4.558726965992306e-06
152,7.6000000000000005,-9.046553303948546e-05,-9.026888839696206e-05,-1.9664464252339934e-07,-9.026888839696206e-05,-1.9664464252339934e-07,-9.026888839696206e-05,-1.9664464252339934e-07
153,7.65,-9.502896580093623e-05,-8.851291389435044e-05,-6.51605190658579e-06,-8.851291389435044e-05,-6.51605190658579e-06,-8.851291389435044e-05,-6.51605190658579e-06
154,7.7,-8.997578598224365e-05,-8.646913094433159e-05,-3.506655037912058e-06,-8.646913094433159e-05,-3.506655037912058e-06,-8.646913094433159e-05,-3.506655037912058e-06
155,7.75,-9.053232390621169e-05,-8.604572086046635e-05,-4.486603045745336e-06,-8.604572086046635e-05,-4.486603045745336e-06,-8.604572086046635e-05,-4.486603045745336e-06
156,7.800000000000001,-8.295255907819765e-05,-8.446781150103173e-05,1.5152524228340743e-06,-8.446781150103173e-05,1.5152524228340743e-06,-8.446781150103173e-05,1.5152524228340743e-06
