shape,seed,alpha,yaw_deg,diameter_m,perimeter_m,area_m2,mass_kg,object_reach_m,concavity_ratio,vertex_count,target_distance_m,shape_scale_factor,annulus_min_m,annulus_max_m,case_id,sampler_attempts,goal_angle_deg,J,J_over_diameter,target_over_diameter,J_over_target,efficiency,direction_error_deg,max_cross_track,max_cross_track_over_diameter,rotation_deg,max_strict_coverage,final_strict_coverage,min_inter_agent_distance,d_min,min_signed_clearance,max_penetration,penetration_budget,solver_fallbacks,solver_infeasible,barrier_scalings,min_barrier_scale,margin_relaxations,solves,first_detection_frame,contact_ready_frame,transport_frame,brake_frame,hold_frame,final_phase,frames_run,terminated_by,settled,completion_time_s,wall_seconds,fps,success,domain_eligible,finite_time_eligible,formal_caging,map_complete,runtime_map_gap_m,runtime_map_gap_required_m,runtime_domain_eligible,certified_inscribed_radius,required_boundary_agents,failure_class
circle,0,0.8,295.9095771000572,1.8315789473684216,5.751764434843443,2.630530252071159,2.630530252071159,0.9157894736842793,7.438494264988549e-15,64,1.4652631578947375,1.5789473684210527,1.2658,2.0658,circle__a0.80__seed000,1,213.89921974319353,1.6592373094148676,0.9059054275540941,0.8,1.1323817844426174,0.9681108718441671,14.50841155047353,0.429367838226049,0.234424969146406,0.0,1.0,1.0,0.28649417114822356,0.28,0.06739935701244291,0.06260064298755709,0.09797521343248555,0,0,0,1.0,0,4624,0,81,82,204,247,HOLD,289,settled,True,14.450000000000001,12.950744499999928,22.31531940113571,True,True,False,False,True,0.03372019279950214,0.1,True,0.9146863651562468,10,SUCCESS
circle,1,0.8,294.62286448116544,1.8315789473684219,5.751764434843441,2.630530252071159,2.630530252071159,0.9157894736848755,9.403589018575076e-14,64,1.4652631578947375,1.5789473684210527,1.2658,2.0658,circle__a0.80__seed001,1,67.05487627201978,0.15948091124850622,0.08707291131383957,0.8,0.10884113914229945,0.728842242708501,43.21057721071438,0.1498179575544868,0.08179716073377148,0.0,1.0,1.0,0.2806974473426627,0.28,0.06856968318846456,0.06143031681153545,0.08690571132151742,0,0,26,0.26953125,8,48000,0,56,57,,,TRANSPORT,3000,watchdog,False,150.0,133.7114932000004,22.43636600118374,False,True,False,False,True,0.032908418995281054,0.1,True,0.9146863651556496,10,TRANSPORT_STALL
circle,2,0.8,7.169352360693546,1.8315789473684219,5.751764434843443,2.6305302520711598,2.6305302520711598,0.9157894736847875,0.0,64,1.4652631578947375,1.5789473684210527,1.2658,2.0658,circle__a0.80__seed002,1,78.6348106982665,0.32535401380687895,0.17763581213593957,0.8,0.22204476516992447,0.7156419222840509,44.304168252684676,0.3175458965885327,0.1733727596316701,0.0,1.0,1.0,0.28115707566665454,0.28,0.08185392743418506,0.04814607256581495,0.09591551095315419,0,0,0,1.0,0,48000,0,96,149,,,TRANSPORT,3000,watchdog,False,150.0,129.60903589999998,23.14653433819733,False,True,False,False,True,0.031725952223710795,0.1,True,0.9146863651557392,10,TRANSPORT_STALL
circle,3,0.8,345.65282214594936,1.8315789473684216,5.751764434843441,2.630530252071159,2.630530252071159,0.9157894736844683,0.0,64,1.4652631578947375,1.5789473684210527,1.2658,2.0658,circle__a0.80__seed003,1,30.576349067927193,0.011564280692584961,0.006313831412618224,0.8,0.007892289265772779,0.7301717559398802,43.09920510778299,0.01082136154777711,0.005908214638154168,0.0,1.0,1.0,0.280006211638086,0.28,0.0936325319445172,0.0363674680554828,0.08435626569276214,0,0,63,0.0,10,48000,0,71,72,,,TRANSPORT,3000,watchdog,False,150.0,128.28263789999983,23.385861478297556,False,True,False,False,True,0.03169176125766904,0.1,True,0.9146863651560572,10,TRANSPORT_STALL
circle,4,0.8,65.81690614644336,1.8315789473684214,5.751764434843442,2.630530252071159,2.630530252071159,0.9157894736847688,0.0,64,1.4652631578947373,1.5789473684210527,1.2658,2.0658,circle__a0.80__seed004,1,157.4812119101344,1.7139297277026324,0.9357662306422416,0.8,1.169707788302802,0.9954704311088148,5.4554443725449655,0.163687580789237,0.08936965617803168,0.0,1.0,1.0,0.280531451858322,0.28,0.0869308995900959,0.04306910040990411,0.10002622322859941,0,0,0,1.0,0,4112,0,70,117,179,216,HOLD,257,settled,True,12.850000000000001,9.814839200000279,26.184840603399056,True,True,False,False,True,0.03643150522295356,0.1,True,0.914686365155757,10,SUCCESS
rectangle,0,0.1,2.6492090329109885,2.1423121586364458,5.905263157894735,2.0642659279778375,2.0642659279778375,1.0711560793182486,4.107825191113079e-15,4,0.21423121586364458,1.5789473684210527,1.4212,2.2212,rectangle__a0.10__seed000,1,213.89921974319353,0.3242836132015514,0.15137085036568795,0.1,1.5137085036568796,0.9780583161612286,12.024580013259811,0.06925660007444037,0.03232796854335239,0.0222450312752399,1.0,1.0,0.2930585671924502,0.28,0.08738390402436792,0.04261609597563208,0.09541294885177098,0,0,0,1.0,0,3120,0,111,112,144,154,HOLD,195,settled,True,9.75,7.8122815000006085,24.96069810080254,False,True,False,False,True,0.03481930528709277,0.1,True,0.5684210526315613,10,CONTRACT_FAILURE
rectangle,1,0.1,51.30584724389186,2.142312158636446,5.905263157894735,2.0642659279778384,2.0642659279778384,1.0711560793182495,5.218048215738236e-15,4,0.21423121586364463,1.5789473684210527,1.4212,2.2212,rectangle__a0.10__seed001,1,67.05487627201978,0.3036420749976503,0.1417356820636795,0.1,1.417356820636795,0.9995101214987864,1.7934924440891407,0.020996476183325813,0.009800848162431099,0.0,1.0,1.0,0.2844481726594121,0.28,0.09702547451382995,0.03297452548617005,0.09605249606574714,0,0,1,0.78125,0,2784,0,77,91,115,124,HOLD,174,settled,True,8.700000000000001,7.018060000000332,24.793176461870054,False,True,False,False,True,0.03523151840589375,0.1,True,0.5684210526315767,10,CONTRACT_FAILURE
rectangle,2,0.1,144.0427887846588,2.142312158636447,5.905263157894737,2.06426592797784,2.06426592797784,1.0711560793182298,2.7755575615628914e-15,4,0.21423121586364471,1.5789473684210527,1.4212,2.2212,rectangle__a0.10__seed002,1,78.6348106982665,0.28373022611032817,0.1324411220682791,0.1,1.324411220682791,0.9999554121297207,0.5410627162264842,0.005709259014329634,0.0026649986517200655,0.0,1.0,0.99375,0.28225317113201326,0.28,0.0833374327696178,0.0466625672303822,0.09199726206337652,0,0,4,0.546875,0,3040,0,90,91,130,150,HOLD,190,settled,True,9.5,7.47127300000011,25.430739848483277,False,True,False,False,True,0.027944513596491957,0.1,True,0.5684210526315692,10,CONTRACT_FAILURE
rectangle,3,0.1,311.9250095777334,2.142312158636447,5.905263157894738,2.06426592797784,2.06426592797784,1.0711560793182329,0.0,4,0.21423121586364471,1.5789473684210527,1.4212,2.2212,rectangle__a0.10__seed003,1,30.576349067927193,0.2640650982517791,0.12326172784261888,0.1,1.2326172784261886,0.9995413306778356,1.7354179221318669,0.011987085562909883,0.005595396317285293,-1.3114874524314006,1.0,1.0,0.28972532056485634,0.28,0.07939827844756482,0.05060172155243518,0.09660550455981118,0,0,1,0.984375,0,2480,0,93,97,109,115,HOLD,155,settled,True,7.75,5.990440399999898,25.87455840475479,False,False,False,False,True,0.03700826784393754,0.1,False,0.5684210526315634,10,WRENCH_INFEASIBLE
rectangle,4,0.1,324.76644232888276,2.142312158636447,5.905263157894738,2.06426592797784,2.06426592797784,1.0711560793182344,2.1094237467877974e-15,4,0.21423121586364471,1.5789473684210527,1.4212,2.2212,rectangle__a0.10__seed004,1,157.4812119101344,6.288836393780379,2.935536900366163,0.1,29.355369003661625,0.9995890134935002,1.6427303734068621,0.2757351697082018,0.12870914660900937,-6.8740396321564035,1.0,0.31875,0.20383753929367274,0.28,0.05583777833991851,0.07416222166008149,0.09144228373643776,124,124,658,0.0,28,48000,0,82,,,,CONTACT_READY,3000,watchdog,False,150.0,147.74517620000006,20.305231461086436,False,True,False,False,False,0.6827021160557821,0.1,False,0.5684210526315653,10,SOLVER_FAILURE
