shape,seed,grid_resolution,complete_30s,abort_reason,theorem_conditions_hold_full_horizon,full_horizon_J_bound_status,condition_failure_frames,condition_failure_agent_indices,zero_input_with_rho_failure_count,H0,H_final,J_bar,E_bar,gradient_residual_bar,centroid2_bar,B_E_rigorous,B_E_numerical_a_priori,B_E_diameter,posthoc_J_bound,B_J_prior_P0H_rigorousE,B_J_prior_numerical_a_priori,B_J_geom,posthoc_bound_below_geom,prior_beats_geom_certificate,prior_beats_geom_numerical,wall_seconds,config_sha256,code_sha
c_shape,11,20,True,,True,applicable_post_hoc,,,0,1.1264927463748642,0.1685303665341571,0.012554704942219143,8.138824965742337e-08,0.01513870606157731,0.23916649271193843,0.18986273738010534,0.12919633223989946,4.7963068632773656,0.03457273640222145,0.19552275913697748,0.14409474580523135,0.22951077763729574,True,True,True,1998.2682436000032,1b2ada992063b5326bb12fb8af63aaac5bc06eae07f98f6e42a43c1f5bacb154,7b9fb36d94ffba572881c11b8050d1d4cee2811d
c_shape,17,20,True,,True,applicable_post_hoc,,,0,1.050688533566167,0.16780994874811372,0.01199418851246789,8.314010817146893e-08,0.01847775147204065,0.21227845020124983,0.18986273738010534,0.12909215081599185,4.7963068632773656,0.03224626588294474,0.19319628814833106,0.14167995833161673,0.22951077763729574,True,True,True,2019.448936900004,1b2ada992063b5326bb12fb8af63aaac5bc06eae07f98f6e42a43c1f5bacb154,7b9fb36d94ffba572881c11b8050d1d4cee2811d
c_shape,23,20,True,,True,applicable_post_hoc,,,0,1.0426198867940144,0.16713856203923028,0.011776184131650025,4.722933268198135e-08,0.017056786365980754,0.18927359446300834,0.18986273738010534,0.12921838640047487,4.7963068632773656,0.03199860433774655,0.19294876289065455,0.14153944527132903,0.22951077763729574,True,True,True,2013.8799967999985,1b2ada992063b5326bb12fb8af63aaac5bc06eae07f98f6e42a43c1f5bacb154,7b9fb36d94ffba572881c11b8050d1d4cee2811d
l_shape,11,20,True,,False,inapplicable,238;239;240,15,3,1.0218737891171732,0.1679738384788667,0.011330765118738354,5.0588012190613045e-08,0.014415524344773365,0.2088579517836066,0.1786734123833937,0.12178605563255541,4.796306863277367,,0.182826604624167,0.13460215923913785,0.22951077763729585,,True,True,1920.5044904000024,15ad45f8f12badfa7ec778ca5e0bbab2f98ce5c4a17dce1bdf64a1128069f0a1,7b9fb36d94ffba572881c11b8050d1d4cee2811d
l_shape,17,20,True,,False,inapplicable,318;319;320;321;322,14,5,0.9801540226843861,0.16898992981518424,0.010857874492609698,2.186231048872122e-08,0.014781965913301767,0.2005058557829412,0.1786734123833937,0.12188680759730557,4.796306863277367,,0.1815461753205661,0.13340713920569885,0.22951077763729585,,True,True,1870.1031239999975,15ad45f8f12badfa7ec778ca5e0bbab2f98ce5c4a17dce1bdf64a1128069f0a1,7b9fb36d94ffba572881c11b8050d1d4cee2811d
l_shape,23,20,True,,True,applicable_post_hoc,,,0,0.9286163970697232,0.17623734854652917,0.010293549952412611,1.7957760730930758e-07,0.011028583898048745,0.1607122871785278,0.1786734123833937,0.12458580833899237,4.796306863277367,0.02849988820264813,0.17996444213021517,0.13411339795759455,0.22951077763729585,True,True,True,1782.705109599996,15ad45f8f12badfa7ec778ca5e0bbab2f98ce5c4a17dce1bdf64a1128069f0a1,7b9fb36d94ffba572881c11b8050d1d4cee2811d
rectangle,11,20,True,,True,applicable_post_hoc,,,0,0.8582070053864108,0.12456559863443373,0.009348657571034032,9.141172697681528e-08,0.008767620669664283,0.21743790075009903,0.13524073132695896,0.08910039007799435,3.7668697825490614,0.026338911416283615,0.14098485953777537,0.10187085435815324,0.18025060482900776,True,True,True,1486.6897528000009,75e918328ae534991549ac06baf365cc3a87ed7b99ddae02c789ef537dc719d0,7b9fb36d94ffba572881c11b8050d1d4cee2811d
rectangle,17,20,True,,True,applicable_post_hoc,,,0,0.7889965436787172,0.13187193463208624,0.008697282166918341,8.742908908557426e-08,0.01006750385027817,0.1792663698211342,0.13524073132695896,0.08894455407272275,3.7668697825490614,0.024214801798460805,0.1388607568209622,0.09961464662970879,0.18025060482900776,True,True,True,1498.2640893999996,75e918328ae534991549ac06baf365cc3a87ed7b99ddae02c789ef537dc719d0,7b9fb36d94ffba572881c11b8050d1d4cee2811d
rectangle,23,20,True,,True,applicable_post_hoc,,,0,0.7755554552537334,0.1245632953114052,0.008552032724107303,2.661993892582907e-08,0.008525855286211774,0.15542056318221037,0.13524073132695896,0.08890950406299339,3.7668697825490614,0.02380223602667828,0.1384483448009165,0.09917252207991167,0.18025060482900776,True,True,True,1510.5138383000012,75e918328ae534991549ac06baf365cc3a87ed7b99ddae02c789ef537dc719d0,7b9fb36d94ffba572881c11b8050d1d4cee2811d
