frame,time,delta_H,rhs_u_command,slack_u_command,rhs_u_saturated,slack_u_saturated,rhs_u_cvt,slack_u_cvt
61,3.0500000000000003,-0.004690384871576803,-0.0046027197834222836,-8.766508815451907e-05,-0.005059937700955629,0.00036955282937882646,-0.005059937700955629,0.00036955282937882646
62,3.1,-0.0044947934007737445,-0.004422910614395016,-7.18827863787283e-05,-0.004874384687376456,0.0003795912866027115,-0.004874384687376456,0.0003795912866027115
63,3.1500000000000004,-0.0042208820455019724,-0.004167595424527565,-5.328662097440779e-05,-0.00461638965033041,0.00039550760482843714,-0.00461638965033041,0.00039550760482843714
64,3.2,-0.004026456859677174,-0.003972475001830291,-5.398185784688363e-05,-0.004417083534143431,0.00039062667446625697,-0.004417083534143431,0.00039062667446625697
65,3.25,-0.0038706245847293097,-0.003821596061978126,-4.902852275118349e-05,-0.004262097961875002,0.0003914733771456921,-0.004262097961875002,0.0003914733771456921
66,3.3000000000000003,-0.0036620544548641165,-0.00362234397346932,-3.9710481394796514e-05,-0.00406084352431784,0.00039878906945372324,-0.00406084352431784,0.00039878906945372324
67,3.35,-0.003531156125527235,-0.003485263756335652,-4.589236919158319e-05,-0.00390774091858419,0.0003765847930569553,-0.00390774091858419,0.0003765847930569553
68,3.4000000000000004,-0.003321329338652923,-0.003305010328187119,-1.6319010465803887e-05,-0.0037292361648021913,0.00040790682614926833,-0.0037292361648021913,0.00040790682614926833
69,3.45,-0.003142865785412119,-0.003109997901552993,-3.286788385912587e-05,-0.0035330183030381932,0.00039015251762607433,-0.0035330183030381932,0.00039015251762607433
70,3.5,-0.0029708774900109036,-0.0029433010095593188,-2.7576480451584843e-05,-0.0033653536503948636,0.00039447616038395996,-0.0033653536503948636,0.00039447616038395996
71,3.5500000000000003,-0.0027886452405494477,-0.002771448626587376,-1.719661396207186e-05,-0.003196465483449464,0.0004078202429000162,-0.003196465483449464,0.0004078202429000162
72,3.6,-0.0025866378430299264,-0.0025610007561030932,-2.563708692683315e-05,-0.003017725459217983,0.00043108761618805645,-0.003017725459217983,0.00043108761618805645
73,3.6500000000000004,-0.002413918722029451,-0.002399720198088632,-1.4198523940819104e-05,-0.002863199144954559,0.00044928042292510795,-0.002863199144954559,0.00044928042292510795
74,3.7,-0.00231128211975018,-0.0022796484102254127,-3.163370952476716e-05,-0.0027529158422666023,0.00044163372251642243,-0.0027529158422666023,0.00044163372251642243
