frame,H_star,J_k,E_k,grad_residual_k,J_cumavg,E_cumavg,grad_residual_cumavg
0,0.9753948396589078,0.0888129771509362,0.00011269407368255014,0.09407341829891464,0.0888129771509362,0.00011269407368255014,0.09407341829891464
1,0.9628867645539654,0.09258892135539647,0.00011206535720586843,0.09663474281929522,0.09070094925316632,0.00011237971544420929,0.09535408055910494
2,0.949975663716616,0.09647526158333433,0.00011960317973550668,0.09928395848853265,0.092625720029889,0.00011478753687464175,0.09666403986891418
3,0.9366847800638728,0.09923155719343504,9.796857382231868e-05,0.10198901443051304,0.0942771793207755,0.00011058279611156099,0.0979952835093139
4,0.9230877024994999,0.10210815777476909,8.454479692089431e-05,0.10472168610928934,0.09584337501157422,0.00010537519627342766,0.09934056402930899
5,0.9091661376455991,0.1049370264095352,8.075017624833685e-05,0.10744032603110332,0.09735898357790106,0.00010127102626924585,0.10069052436294139
6,0.8949346488466613,0.10674523265248674,7.930218558402141e-05,0.1101813897575596,0.09869987630284185,9.813262045707094e-05,0.10204636227645827
7,0.8804817339152843,0.10788903784739756,9.004150309686927e-05,0.1129572395859833,0.09984852149591132,9.712123078704573e-05,0.1034102219401489
8,0.8658484630425431,0.10946412231576365,8.783987674640613e-05,0.11565863488999274,0.10091692158700602,9.608996922697466e-05,0.10477115671235376
9,0.851017638285379,0.11038234489090534,6.683224231162766e-05,0.11827247426404927,0.10186346391739595,9.316419653543996e-05,0.1061212884675233
10,0.8360338365574939,0.11165774032609849,6.443250254242262e-05,0.12080391597572698,0.10275385268182347,9.055222435425656e-05,0.10745607278645092
11,0.8209101440118824,0.11212568715378268,0.00010296651695053222,0.12323111031630178,0.10353483888782007,9.158674873727953e-05,0.10877065924727182
12,0.8056984077927986,0.11274699385979672,9.233672558299393e-05,0.1253830740175082,0.10424346619335674,9.164443926387296e-05,0.11004853730652077
13,0.790398073586235,0.11288656388100492,0.00011583969227107334,0.12743107794625452,0.10486083031390303,9.337267162153012e-05,0.11129014735221603
