frame,H_star,J_k,E_k,grad_residual_k,J_cumavg,E_cumavg,grad_residual_cumavg
0,1.0296566246262293,0.07841815120704278,0.00010944384138018776,0.07851914680282433,0.07841815120704278,0.00010944384138018776,0.07851914680282433
1,1.0171692199991644,0.08277656099195002,0.00011101717003371348,0.08337243590788142,0.08059735609949639,0.00011023050570695062,0.08094579135535288
2,1.0041262973301448,0.08721099792419323,0.00010202687427507016,0.08816560789223385,0.08280190337439534,0.0001074959618963238,0.08335239686764655
3,0.9905378138589361,0.0916279800999478,9.922740714210951e-05,0.09282606724176831,0.08500842255578345,0.00010542882320777023,0.08572081446117699
4,0.976420602690452,0.09610119879145185,9.955859518207959e-05,0.09738353719899204,0.08722697780291713,0.00010425477760263209,0.08805335900874
5,0.9617844369994559,0.10060218819045696,9.107478122686212e-05,0.10179955660851955,0.08945617953417377,0.00010205811154000376,0.0903443919420366
6,0.9466454446582718,0.1037603188768684,8.72506514420642e-05,0.10600875787201482,0.09149962801170157,9.994276009744096e-05,0.09258215850346206
7,0.9311003262519322,0.10704889357777389,9.542862361456607e-05,0.10997114555455938,0.09344328620746062,9.93784930370816e-05,0.09475578188484922
8,0.9151540739668325,0.110231212188571,9.431208470195025e-05,0.11364709308560088,0.09530861131647289,9.881555877762257e-05,0.0968548164627105
9,0.8988305269239814,0.11357329383712769,9.375067177652604e-05,0.11706013135223059,0.09713507956853837,9.830907007751292e-05,0.09887534795166252
10,0.8821410091575527,0.1165249899402182,8.420507656379633e-05,0.12019192170701443,0.09889779869323653,9.702688884899322e-05,0.10081321829305813
11,0.865122083176805,0.11989999527780598,9.374890985888237e-05,0.12305358931372395,0.10064798174195065,9.675372393315065e-05,0.10266658254478028
12,0.8477771109014142,0.12342470881392811,9.671737430027173e-05,0.12558124662485362,0.1024000376705643,9.675092780754459e-05,0.10442924901247823
13,0.8301236221470553,0.12634906732793388,9.292337679647337e-05,0.127709841875094,0.1041106826460907,9.647753130675378e-05,0.10609214850266506
14,0.812218936173825,0.1298300191284923,0.00011116033504330903,0.1293395050033338,0.1058253050782508,9.745638488919079e-05,0.1076419722693763
15,0.7940765625542001,0.13316250636491567,0.00013411784686956536,0.1305142444004991,0.10753388015866736,9.97477262629642e-05,0.10907148927757149
16,0.775734376975638,0.13559792914545854,0.00012670123163738698,0.13121270537411,0.10918470656965507,0.00010133322657910671,0.11037391375383845
17,0.7572715315676425,0.13857713182686027,0.00011206084299626323,0.13145504319561008,0.11081761908394425,0.00010192920526894875,0.11154508761171465
18,0.7386901515010421,0.1416808467458514,0.00010189288176055836,0.13113841072546845,0.11244199948720252,0.00010192729350534924,0.11257631514401747
19,0.7200276023460048,0.14386315799617116,0.00010467404926592303,0.13037002967621988,0.11401305741265096,0.00010206463129337794,0.1134660008706276
20,0.7013784411450777,0.14319242485741812,0.00012173048097705896,0.12909172262034102,0.115402551100497,0.00010300110032593418,0.11421008285870919
21,0.682929149222801,0.1423283948076173,0.0001331645356915024,0.12732698230485642,0.11662645308718429,0.00010437216556982364,0.1148063055608068
22,0.6647284871498448,0.1419050407256186,0.00010940871138624838,0.1250024668461361,0.11772552211494232,0.00010459114582271167,0.11524961692103852
23,0.6467856783884556,0.1401639427529852,9.258165138469029e-05,0.12211137852256705,0.1186604563081941,0.00010409075022112744,0.11553552365443553
24,0.6291944540422151,0.13822092678279846,7.746597555308481e-05,0.11878412724893087,0.11944287512717829,0.00010302575923440573,0.11566546779821535
25,0.6119886853436496,0.13529250094045012,8.046422126998619e-05,0.11515974499125349,0.12005247611999643,0.00010215800777423574,0.1156460169210245
26,0.5952334720944512,0.13148095810977917,0.00011780973416291934,0.11118783687846834,0.12047575323072914,0.00010273770134418698,0.11548089914167058
27,0.5789850141299482,0.12866680425026983,0.00011809462350759692,0.10717184272794188,0.12076829076714131,0.00010328616285002306,0.11518414712689454
28,0.5631835286528155,0.1254509786057396,0.0001501965769175567,0.10310913521019799,0.12092976276157572,0.00010490376333511043,0.11476776740562915
29,0.5478587324626909,0.12171638347899427,0.00011548754956050576,0.09893754756208564,0.12095598345215634,0.00010525655620929026,0.11424009341084436
30,0.5330408866512062,0.11664983435843394,7.410156405272884e-05,0.09499340155213258,0.12081707541687499,0.00010425155646230442,0.11361923238314399
31,0.5188292158176535,0.11308340848865622,0.0001115471110301915,0.09134061879242018,0.12057539832536815,0.0001044795425425509,0.11292302570843386
32,0.5051504712735746,0.11033422156194286,0.00010366534115357561,0.0878069821848751,0.12026505963556738,0.00010445486977318802,0.11216193348044724
33,0.4919111862944394,0.10865746508859989,8.712216584776947e-05,0.08446327867805913,0.11992365979595068,0.00010394508436361688,0.11134726716272994
34,0.4790430542234727,0.10526472811065739,4.9486950828129786e-05,0.08133513616411871,0.11950483317637087,0.00010238913769117439,0.11048977770562678
35,0.4666302373264175,0.10255389612924469,7.685469186345573e-05,0.07846362015083065,0.1190339738139507,0.00010167984752929331,0.10960016221799355
36,0.45460664166474873,0.09993383292036546,6.861391403005347e-05,0.07583970126338546,0.11851775378979976,0.00010078617365093548,0.10868771732732846
37,0.4429566058942016,0.09629280684652711,0.00011556191518813135,0.07349068174168855,0.1179328867649768,0.00010117500895454589,0.10776147954875899
38,0.4317802629165126,0.0929822467820357,0.00011439847936606657,0.07134311287042658,0.11729312676541422,0.00010151407229843104,0.1068276752749556
39,0.4209937680067499,0.0899671120389294,0.0001259038531047857,0.06938110688880575,0.1166099763972521,0.00010212381681858991,0.10589151106530185
40,0.41056868499977994,0.08816797784036515,9.360404349844995e-05,0.06769144795029224,0.11591626911537682,0.0001019160174693182,0.1049598022088382
41,0.40043147372278165,0.08617535688657095,0.00013365357769120836,0.0662655838313883,0.11520815215754811,0.00010267167366507749,0.10403851129508938
42,0.3905855199149988,0.08221904033784225,0.00012374393139008008,0.06491949905107285,0.11444096351057821,0.00010316172617031012,0.1031287668242983
43,0.38116337401715983,0.07938043546916887,0.00010961549369853466,0.0638102374953979,0.1136441333278189,0.0001033084027050425,0.10223516388500511
44,0.37208260197137266,0.07629032178981121,0.0001784815664729083,0.0628661889371692,0.11281404862697428,0.00010497891745543951,0.10136029777505322
45,0.36330881280379623,0.07359660826670786,0.00010649875707328497,0.061940047638595244,0.11196149557566414,0.0001050119574471318,0.100503335815565
46,0.3547972175835482,0.07205203776855712,0.00010470293045695881,0.061178373284193704,0.11111235817551293,0.0001050053824047877,0.09966663448511029
47,0.34652905775951504,0.07042401938671661,9.189418650032538e-05,0.0605479073633549,0.11026468445074633,0.00010473223249011139,0.09885166100340705
48,0.33849164122307296,0.06877798348542626,8.171381330022546e-05,0.05987352640217007,0.10941801708410714,0.00010426246883317495,0.09805618886868793
49,0.33067813715268357,0.06685781694644871,9.143473221751616e-05,0.05927251318557852,0.10856681308135398,0.00010400591410086178,0.09728051535502574
50,0.32309578615976997,0.06485140680527209,7.747435971825167e-05,0.05865128928434671,0.1077096482524112,0.00010348568754434001,0.09652307954971832
51,0.31573925017125126,0.0629183053055257,8.231534507414131e-05,0.05803487296570603,0.1068482762726634,0.00010307856557375927,0.095782921730795
52,0.30858328981675254,0.061104180347415715,9.459183135606604e-05,0.057402868200442936,0.10598518012313042,0.00010291843851304808,0.09505876977739214
53,0.3016335738215239,0.060002948197088624,9.785919824560702e-05,0.056693884350765944,0.1051336573096852,0.00010282474887846583,0.09434830893615832
54,0.29491756809820635,0.058782084695503466,8.398121924874733e-05,0.05574379583819168,0.10429090144397281,0.00010248213924883459,0.09364640869801347
55,0.28839563051278105,0.05654243931243883,7.183790200914814e-05,0.05452121916519042,0.10343825033448115,0.00010193492072669732,0.09294774459921305
56,0.28210598851264124,0.05446584983077168,7.7801237931736e-05,0.05308688989229114,0.10257908541336343,0.00010151152278292606,0.09224843135874074
57,0.27609603575674146,0.05208866747259344,9.453026027673935e-05,0.0514389754361575,0.10170856096610877,0.00010139115618799181,0.09154482004973068
58,0.2703251183796749,0.050139239894621344,0.00010724575206268006,0.04971767228734991,0.10083450467676153,0.00010149038662654585,0.09083588534189371
59,0.26478190346598374,0.04800914684706857,9.027692793381215e-05,0.04788028946814448,0.09995408204626663,0.00010130349564833363,0.09011995874399789
60,0.2595487130510832,0.046061580145425655,8.39790895013054e-05,0.045903109781126834,0.09907059840854793,0.00010101948899018563,0.08939509236755738
61,0.2545264440354488,0.043652754247080455,9.267261633255426e-05,0.043822237260572994,0.09817676221239523,0.00010088486201183674,0.08866004631744472
62,0.24977408648353194,0.04053723858254904,0.00012063976269798968,0.041726672131084504,0.0972618491389056,0.0001011984318639979,0.08791507212401044
63,0.24532052106288327,0.03809384018113492,0.00013026224247641592,0.03971637443455541,0.09633734899894045,0.00010165255390481692,0.0871619674726127
64,0.2411165077302112,0.036399547286868374,0.0001232059128804196,0.03771948209715113,0.09541522897260088,0.00010198414404290311,0.08640131385145175
65,0.2371393927632679,0.033997966577662374,9.594651762769545e-05,0.03575695620740018,0.0944846643908594,0.0001018926648547939,0.08563397509926916
66,0.23343193673741913,0.032854477736362124,0.00011339978192378188,0.033814596803272326,0.09356481085870272,0.00010206441287074895,0.08486055154261249
67,0.22986667001440875,0.03183868469978223,0.00011366567126185069,0.03191594760061333,0.09265707370930681,0.00010223501961179456,0.08408195442581838
68,0.22646226817664128,0.02992243579604663,0.00013538488216792086,0.03006897719283854,0.09174787605839,0.00010271545240246306,0.08329915765432593
69,0.22331589397786988,0.02861929005572631,0.00014354785036681177,0.02830908290574027,0.0908460391154948,0.00010329877237338232,0.08251358515791755
70,0.22029834829609074,0.027014951244706844,0.00014433660885259357,0.026630875579813005,0.08994700970886398,0.00010387677007027262,0.08172650474132453
71,0.2174487802459777,0.02484209622459058,9.102869998930432e-05,0.025011096592820393,0.08904277479936018,0.0001036983246524814,0.08093879073926197
72,0.21481328402287603,0.022869471039114485,0.0001059279204161197,0.023496118005901557,0.08813629118620613,0.00010372886706020247,0.08015190481140773
73,0.21236271144927277,0.021755879041585515,9.637542184096125e-05,0.022099944913189864,0.08723925858965721,0.00010362949617886136,0.07936741886683722
74,0.21001731887582353,0.02002824442342683,8.548646238573705e-05,0.020794794100541306,0.08634311173410747,0.00010338758906161972,0.07858645053661993
75,0.2078567826265605,0.01851099170421932,9.778104054641504e-05,0.019602337260592392,0.08545058383897737,0.00010331381868641965,0.077810343782988
76,0.20582822979173843,0.017343876054473385,9.710578336254389e-05,0.018517700004686527,0.08456608114047731,0.00010323319485104463,0.07704030944820486
77,0.20393049851295064,0.016464603678215704,0.0001000697497036227,0.017488751743060464,0.08369298527557653,0.00010319263786197512,0.07627682793916456
78,0.20213975135949624,0.01567179319815334,9.319847810117039e-05,0.016496982192454334,0.08283195752776105,0.00010306612951057253,0.07552012103097835
79,0.200434156871665,0.015263723617113166,0.00010407081409386121,0.015584271967766758,0.08198735460387795,0.00010307868806786365,0.0747709229176882
80,0.19881220785772324,0.014523046533645933,0.00011101618598363763,0.014711582945695948,0.08115446191165286,0.00010317668186929297,0.07402944958470066
81,0.19725565813764678,0.01324516889261177,9.771561258873658e-05,0.01390081266172109,0.08032629980166456,0.00010311008346343252,0.07329617352466432
82,0.19582679773347067,0.012601687912342271,0.0001100602995962152,0.013158379629841236,0.07951034062227513,0.00010319382100720098,0.07257162179099176
83,0.1944694797553992,0.01193869262790404,0.0001260698783812581,0.012474015263114755,0.07870591624138976,0.0001034661550235588,0.07185617409423131
84,0.19319853455621483,0.011082505935581069,0.00011347951823156385,0.011841200584610922,0.07791034670838025,0.00010358395929659415,0.07115011558235342
85,0.19199970657779475,0.010614930523570874,0.00010472145375800527,0.011240846392509114,0.077127841869022,0.00010359718597637799,0.07045349617316918
86,0.19085679391316313,0.009985542958916089,0.00010424620636872254,0.010680258878395701,0.07635609130683688,0.00010360464598088771,0.06976644746863156
87,0.18975121380547355,0.00914984909307433,7.934701693572847e-05,0.010170684034147535,0.0755923840089532,0.00010332899110537455,0.06908922288414877
88,0.18873430619361597,0.008562845042974842,8.754061577840963e-05,0.009698948300598002,0.07483924312169501,0.00010315159362979067,0.06842191642815383
89,0.18776007274316076,0.008449035738081388,0.000102364958327943,0.009258157428295836,0.07410157415076599,0.00010314285323754793,0.06776454132815542
90,0.1868136328883785,0.008087557785278459,8.197015909242828e-05,0.008842826482404403,0.07337614539949688,0.00010291018626892025,0.06711704995622408
91,0.1859215096127549,0.007792115853654451,8.793876832214943e-05,0.00843603841654556,0.07266327551312902,0.000102747453465151,0.06647921287427105
92,0.185085460279256,0.007029128350134973,0.00014920977262561518,0.008044917719686087,0.07195753199524738,0.00010324704829483342,0.06585088711992068
93,0.18428972684640543,0.00674836496431435,0.00011633242812789565,0.00770019846722424,0.07126381745236511,0.00010338625446327025,0.06523226277255156
94,0.18351439723099627,0.006484163440461328,0.00013287688121913538,0.007371622229993857,0.07058192635750296,0.00010369668211333198,0.06462320339841937
95,0.18277435598840697,0.006322259562490214,0.00014114242580325542,0.007059278558550219,0.06991255482838825,0.00010408674194343537,0.0640235791813374
96,0.1820551116652045,0.006042688480403536,0.00015031747776751497,0.006757047117889068,0.06925410259799665,0.00010456334746739495,0.0634332025621266
97,0.18138166330047678,0.005901228386776709,0.0001421242658991577,0.006469639873331729,0.06860764469788216,0.00010494662214527007,0.06285194171836339
98,0.18072936884491808,0.005887801080784072,0.00020045574627621594,0.0061846052273303795,0.06797411092397208,0.00010591136077285539,0.062279544380070134
99,0.1801066747925968,0.005548344999901366,0.00021127946844294257,0.00590552457279935,0.06734985326473138,0.00010696504184955627,0.06171580418199743
100,0.17950578844896858,0.0053691417474993515,0.00022319194123239627,0.005647890359989525,0.06673618285366968,0.00010811580322958438,0.06116067632237359
101,0.17892141187458277,0.00520552870218581,0.00024398138943834398,0.005401748404807614,0.0661329411463022,0.00010944781878065066,0.060614020166319026
102,0.17835300592337,0.004928325162645014,0.00023164764438089389,0.005168165557654246,0.06553872157364532,0.00011063422485443943,0.06007571089827373
103,0.17784130384203278,0.004747182718064773,0.00018025256792087888,0.004950256697546659,0.06495418754618781,0.00011130363199930903,0.05954565845403597
104,0.1773373934568232,0.004716873911431682,0.0001862892436444244,0.004742125823508938,0.06438049884490442,0.00011201778068164347,0.059023720048030956
