case_id,shape,seed,position_class,yaw_deg,surface_density,ground_friction,contact_friction,vertex_count,goal_angle_deg,diameter_m,perimeter_m,domain_eligible,finite_time_eligible,theorem_eligible,termination,task_success,success_given_eligible,failure_class,frame,wall_seconds,fps,J_m,efficiency,max_cross_track_error_m,max_abs_rotation_deg,max_penetration_m,operational_enclosure_maintained,fallbacks,infeasible,rho_relaxations
ellipse24__seed_001,ellipse24,1,random,272.8856409512105,2.2,0.3,0.4,24,-84.16317165138723,1.4399999999999997,3.6332971918598282,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,477,15.425866800011136,30.922087308549536,0.08140846208694365,0.9525648553429903,0.026009250943090076,1.5943550486990439,0.010555810498921958,False,0,0,0
l_shape__seed_001,l_shape,1,center,336.39350147859767,1.5,0.45,0.6,,-84.16317165138723,1.6122034611053278,4.56,False,False,False,SUCCESS_HOLD,False,False,WRENCH_INFEASIBLE,339,13.866638599982252,24.447164866648638,0.07234712037128223,0.984893020423822,0.013167440740069829,6.310015219660963,0.019207172836170683,True,0,0,0
u_shape__seed_001,u_shape,1,edge,69.6096216381834,0.8,0.15,0.8,8,-84.16317165138723,1.70293863659264,6.3,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,333,22.120965200010687,15.053592688615554,0.08724916632088979,0.9653786570145005,0.023575378057375244,11.678401842248254,0.00939829962126204,False,0,0,0
c_shape__seed_001,c_shape,1,corner,63.03263739504365,2.2,0.3,0.4,8,-84.16317165138723,1.70293863659264,6.6000000000000005,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,342,12.208282900013728,28.013767603600947,0.0824737901650942,0.9817834136730599,0.02367664431014246,12.911089419351594,0.0157637072741853,False,0,0,0
star10__seed_001,star10,1,random,270.02920599634257,1.5,0.45,0.6,10,-84.16317165138723,1.331479122813215,4.695826984435488,False,False,False,SOLVER_FAILURE,False,False,SOLVER_FAILURE,1096,67.35795219999272,16.2712785083766,0.006020276835936218,0.05442181266633101,0.1145112051906998,8.569637460743873,0.028347031092274794,False,1,1,451
convex_random__seed_001,convex_random,1,center,243.95703031309742,0.8,0.15,0.8,8,-84.16317165138723,1.555030956886214,4.3435245265930575,False,False,False,SUCCESS_HOLD,True,False,WRENCH_INFEASIBLE,327,12.157517299987376,26.89693890053848,0.08755880957617132,0.9868845215169385,0.014585993138172562,7.345232759875289,0.017883675690851586,True,0,0,0
concave_random7__seed_001,concave_random7,1,edge,194.5565936680401,2.2,0.3,0.4,7,-84.16317165138723,1.0497785226238223,2.964503111909454,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,405,19.751021399977617,20.5052686541294,0.08412622690182502,0.9782383218748956,0.028458556416022174,4.127984436583732,0.007473043464522183,False,0,0,0
concave_random15__seed_001,concave_random15,1,corner,152.58934367155675,1.5,0.45,0.6,15,-84.16317165138723,1.3369572413545319,5.0732413321583785,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,336,12.623082899983274,26.617903301613048,0.08453279046200933,0.9878155757545731,0.016301183830447163,28.92337337165191,0.013843497605315641,False,0,0,0
high_aspect__seed_001,high_aspect,1,random,196.75899415511842,0.8,0.15,0.8,,-84.16317165138723,1.6194134740701647,3.6999999999999993,True,False,False,SUCCESS_HOLD,True,True,SUCCESS,327,9.523022900015349,34.33783615069044,0.15256513653539497,0.9899002811753663,0.02547760887927568,21.872789264005462,0.012052829942671511,True,0,0,0
polygon32__seed_001,polygon32,1,center,302.32732255598563,2.2,0.3,0.4,32,-84.16317165138723,1.2610741676934616,4.148777522806908,False,False,False,SUCCESS_HOLD,True,False,WRENCH_INFEASIBLE,342,9.48089209999307,36.07255481794271,0.07813322947099265,0.9673405479319276,0.020473901121993505,2.460296176059338,0.016122585978933485,True,0,0,1
circle__seed_002,circle,2,corner,273.3898459324699,2.2,0.3,0.8,96,150.85658010298832,1.1600000000000001,3.642784142067513,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,474,13.999414800025988,33.85855814481046,0.0890942872597107,0.9083420135499883,0.0410217060131638,0.009188976130627923,0.011096607669777159,False,0,0,0
rectangle__seed_002,rectangle,2,random,241.03637329924862,1.5,0.45,0.4,,150.85658010298832,1.3567977004697491,3.739999999999998,False,False,False,SUCCESS_HOLD,False,False,WRENCH_INFEASIBLE,333,10.13962589998846,32.84144832211009,0.07757080393835944,0.9931679326030987,0.009114306318312705,4.684849021370341,0.015809439947960163,False,0,0,0
ellipse24__seed_002,ellipse24,2,center,282.30859301854144,0.8,0.15,0.6,24,150.85658010298832,1.44,3.6332971918598282,True,False,False,SUCCESS_HOLD,False,False,CONTRACT_FAILURE,384,20.32790910001495,18.890285179390023,0.6589385824843086,0.9985067914815171,0.04222958141354716,7.430587828022252,0.013235730796099188,True,0,0,0
l_shape__seed_002,l_shape,2,edge,239.30054247397902,2.2,0.3,0.8,,150.85658010298832,1.6122034611053282,4.56,False,False,False,SUCCESS_HOLD,False,False,WRENCH_INFEASIBLE,486,80.93384079998941,6.004904687534162,0.07493046838557688,0.9456741697130102,0.025760551917052024,14.974979718815062,0.011699236699069221,False,0,0,0
u_shape__seed_002,u_shape,2,corner,199.77010392899552,1.5,0.45,0.4,8,150.85658010298832,1.7029386365926402,6.300000000000001,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,462,35.80771039999672,12.902249120067792,0.07886952816617909,0.6810900032704378,0.08478797948798572,1.096521931911135,0.011910753326130286,False,0,0,0
c_shape__seed_002,c_shape,2,random,278.39617554429293,0.8,0.15,0.6,8,150.85658010298832,1.702938636592641,6.6000000000000005,False,False,False,SUCCESS_HOLD,False,False,CAGE_INFEASIBLE,354,90.5146558000124,3.9109688577079194,0.07003147354557708,0.9740606639719847,0.019458235745793903,14.765295507104906,0.015199643813799957,False,0,0,1
star10__seed_002,star10,2,center,347.9019967663498,2.2,0.3,0.8,10,150.85658010298832,1.3314791228132152,4.69582698443549,False,False,False,SUCCESS_HOLD,True,False,WRENCH_INFEASIBLE,342,35.265661699988414,9.697818884257952,0.07626333560890038,0.9936669461553863,0.008623982123553572,4.88113482715107,0.01845430557175487,True,0,0,0
convex_random__seed_002,convex_random,2,edge,337.2622368509505,1.5,0.45,0.4,8,150.85658010298832,1.8671603669337489,4.937029918310841,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,663,59.807105899992166,11.085639240070416,0.07817894710041201,0.9747779369707759,0.017899197614011424,0.0,0.012120639362125957,False,0,0,0
concave_random7__seed_002,concave_random7,2,corner,216.52760698992762,0.8,0.15,0.6,7,150.85658010298832,1.0876368503392826,2.878084170040788,True,False,False,SUCCESS_HOLD,False,False,CONTRACT_FAILURE,378,58.05988729998353,6.510519010258348,0.13478269816915966,0.7992384184964183,0.18384592976670522,14.255103868996793,0.010552114453712874,False,0,0,0
concave_random15__seed_002,concave_random15,2,random,309.5142270118176,2.2,0.3,0.8,15,150.85658010298832,1.274883334144826,4.350297980060474,False,False,False,SUCCESS_HOLD,False,False,WRENCH_INFEASIBLE,348,70.82905309999478,4.913238067840633,0.06277837782837808,0.996164327880261,0.009476563015127452,28.34229600959893,0.009592927138820623,True,0,0,0
high_aspect__seed_002,high_aspect,2,center,219.89281769988543,1.5,0.45,0.4,,150.85658010298832,1.619413474070165,3.6999999999999997,False,False,False,SUCCESS_HOLD,False,False,WRENCH_INFEASIBLE,330,32.975058100011665,10.007563868397954,0.07351787399874991,0.9316585606726936,0.03071557827718523,5.34049233353229,0.012544316849673609,True,0,0,0
polygon32__seed_002,polygon32,2,edge,99.43800797792899,0.8,0.15,0.6,32,150.85658010298832,1.279203797207768,4.105785475087661,False,False,False,SUCCESS_HOLD,False,False,MAP_INCOMPLETE,339,57.47535770002287,5.898179908149839,0.14669093870828032,0.8844083806345844,0.08400467200691417,35.826331403330805,0.008576651153035242,False,0,0,0
