shape,seed,grid_resolution,complete_30s,abort_reason,theorem_conditions_hold_full_horizon,full_horizon_J_bound_status,condition_failure_frames,condition_failure_agent_indices,zero_input_with_rho_failure_count,H0,H_final,J_bar,E_bar,gradient_residual_bar,centroid2_bar,B_E_rigorous,B_E_numerical_a_priori,B_E_diameter,posthoc_J_bound,B_J_prior_P0H_rigorousE,B_J_prior_numerical_a_priori,B_J_geom,posthoc_bound_below_geom,prior_beats_geom_certificate,prior_beats_geom_numerical,wall_seconds,config_sha256,code_sha
c_shape,2,20,True,,True,applicable_post_hoc,,,0,1.0789362278332495,0.1772413096836971,0.012001506502053554,1.7163567524966532e-07,0.016649642222715588,0.2138780525533591,0.18145941735036453,0.12139320871807056,4.7963068632773656,0.03311327781069668,0.18693961152644425,0.1360203956739492,0.22951077763729574,True,True,True,1940.1362311000012,1b2ada992063b5326bb12fb8af63aaac5bc06eae07f98f6e42a43c1f5bacb154,c178f766e0394c345db5122cd765a5abba96bc8f
c_shape,5,20,True,,True,applicable_post_hoc,,,0,1.0883969736651578,0.15597883095409992,0.012354957682793185,4.3870604257521126e-08,0.014954144431761499,0.22969204056649778,0.18145941735036453,0.12202402097894727,4.7963068632773656,0.033403524872726055,0.18723002041399003,0.1368455555705126,0.22951077763729574,True,True,True,2138.3415016,1b2ada992063b5326bb12fb8af63aaac5bc06eae07f98f6e42a43c1f5bacb154,c178f766e0394c345db5122cd765a5abba96bc8f
c_shape,8,20,True,,True,applicable_post_hoc,,,0,1.1108776519996226,0.1596708547427943,0.0124805614728132,6.689191517846399e-08,0.01514195265483413,0.2386816353938577,0.18145941735036453,0.12214346525312623,4.7963068632773656,0.034093488480415726,0.18792001146060822,0.1376368016974455,0.22951077763729574,True,True,True,2015.5776932000008,1b2ada992063b5326bb12fb8af63aaac5bc06eae07f98f6e42a43c1f5bacb154,c178f766e0394c345db5122cd765a5abba96bc8f
c_shape,11,20,True,,True,applicable_post_hoc,,,0,1.1264927463748642,0.16717429697937614,0.012575629749836535,8.228828744607321e-08,0.015087815516530375,0.23857865739054987,0.18145941735036453,0.12079301221015866,4.7963068632773656,0.03457273716519983,0.18839911214451663,0.1369710988127705,0.22951077763729574,True,True,True,2024.7376800000002,1b2ada992063b5326bb12fb8af63aaac5bc06eae07f98f6e42a43c1f5bacb154,c178f766e0394c345db5122cd765a5abba96bc8f
c_shape,17,20,True,,True,applicable_post_hoc,,,0,1.050688533566167,0.16549495373374246,0.012027957817826259,8.442708628368454e-08,0.018068511516707096,0.20771678773191374,0.18145941735036453,0.12068883078625105,4.7963068632773656,0.03224626697393946,0.18607264115587022,0.13455631133915588,0.22951077763729574,True,True,True,2047.1049343000013,1b2ada992063b5326bb12fb8af63aaac5bc06eae07f98f6e42a43c1f5bacb154,c178f766e0394c345db5122cd765a5abba96bc8f
c_shape,23,20,True,,True,applicable_post_hoc,,,0,1.0426198867940144,0.16528372602793384,0.011814191113502766,4.246994266668901e-08,0.015174844892698163,0.17904283951605598,0.18145941735036453,0.1208150663707341,4.7963068632773656,0.03199860030312521,0.18582511589819373,0.13441579827886818,0.22951077763729574,True,True,True,1899.425199899999,1b2ada992063b5326bb12fb8af63aaac5bc06eae07f98f6e42a43c1f5bacb154,c178f766e0394c345db5122cd765a5abba96bc8f
c_shape,29,20,True,,True,applicable_post_hoc,,,0,1.0768889667386405,0.14927248772157098,0.012513930758995827,6.913913372759969e-08,0.016095147121299138,0.21264284163383934,0.18145941735036453,0.12181077756017784,4.7963068632773656,0.03305035937997156,0.18687677433438787,0.13631153917234554,0.22951077763729574,True,True,True,1832.4344601000012,1b2ada992063b5326bb12fb8af63aaac5bc06eae07f98f6e42a43c1f5bacb154,c178f766e0394c345db5122cd765a5abba96bc8f
c_shape,31,20,True,,True,applicable_post_hoc,,,0,1.0963250749218498,0.2035345231505601,0.01182159693811165,2.082864314880031e-07,0.032216390503001534,0.2474656812126122,0.18145941735036453,0.12031143168274958,4.7963068632773656,0.03364698193663595,0.18747342521295637,0.1356371673226829,0.22951077763729574,True,True,True,1821.8713585000005,1b2ada992063b5326bb12fb8af63aaac5bc06eae07f98f6e42a43c1f5bacb154,c178f766e0394c345db5122cd765a5abba96bc8f
c_shape,37,20,True,,True,applicable_post_hoc,,,0,1.046714219348681,0.1678403813796776,0.011923556082378444,2.000649685419636e-07,0.015690293797831285,0.2038920821458791,0.18145941735036453,0.12075724951977557,4.7963068632773656,0.0321243911643954,0.18595081697379456,0.13449248695996466,0.22951077763729574,True,True,True,1834.8544973999997,1b2ada992063b5326bb12fb8af63aaac5bc06eae07f98f6e42a43c1f5bacb154,c178f766e0394c345db5122cd765a5abba96bc8f
l_shape,2,20,True,,True,applicable_post_hoc,,,0,0.9753948396589078,0.15257079660360118,0.011369917462162652,8.434294596809316e-08,0.011716076971600478,0.17676746270653002,0.1702700923536529,0.11358851375086285,4.796306863277367,0.029935462997530058,0.17427662842718328,0.1262266249151603,0.22951077763729585,True,True,True,2250.3494616999997,15ad45f8f12badfa7ec778ca5e0bbab2f98ce5c4a17dce1bdf64a1128069f0a1,c178f766e0394c345db5122cd765a5abba96bc8f
