frame,H_star,J_k,E_k,grad_residual_k,centroid2_k,in_K0,qp_all_optimal,dissipation_slack_u_command
0,1.0883969736651578,0.05966738396886273,1.3401437091595056e-07,0.051017861241565876,3.8066634107272996,1,1,-0.00045973179738119027
1,1.0780758023342338,0.06383490800873343,8.226738317343269e-08,0.05631838701931841,3.7998771444814876,1,1,-0.0004653129238018014
2,1.0671379411868551,0.06806748901633881,7.661425143891631e-08,0.061791227560961254,3.7878381490671846,1,1,-0.0004765488197187324
3,1.0555842924556855,0.07239210585056005,1.0353642489631379e-07,0.06742778790462362,3.774102252732159,1,1,-0.00048381914219890014
4,1.0434204679544836,0.07679846699383858,2.109418806888945e-07,0.07320354932384114,3.7580156389542805,1,1,-0.0004839120778968864
5,1.0306579436842873,0.08121894270593503,9.018989396638853e-08,0.07901528040907199,3.72980596984187,1,1,-0.0004845353870980857
6,1.0173162379755563,0.08564505921230586,5.547715153518216e-08,0.08478880020020463,3.6958606023312437,1,1,-0.0004918006782931444
7,1.0034104870481522,0.09011396230208954,5.54434060391309e-08,0.09052377784873006,3.663303144629488,1,1,-0.0004955678202500768
8,0.9889580583424151,0.09456969016810615,7.425434868114826e-08,0.09616142041783433,3.626562620053857,1,1,-0.0004928715262789672
9,0.9739859617791984,0.09897703631352692,7.733703571654054e-08,0.10161985356286485,3.583195625239612,1,1,-0.0004942814011659954
10,0.958522122631464,0.10338333174757795,9.336499500381871e-08,0.10692973340769038,3.5335819053356063,1,1,-0.0004947726351456454
11,0.942589769576436,0.10778745621674438,1.2605119670304925e-07,0.11208286639460435,3.4747777561546096,1,1,-0.0004934776494235904
12,0.9262130727617264,0.11217737241812437,1.006645163151339e-07,0.11700822747154706,3.412737804371875,1,1,-0.0004865261872812124
13,0.9094222593699188,0.11650552429970598,1.378550533836338e-07,0.1216285232666535,3.3408575824484443,1,1,-0.0004837576669555581
14,0.8922479663438027,0.12079796064928314,1.7130469165800945e-07,0.1259807618035813,3.2620859239082005,1,1,-0.0004835451457303082
15,0.8747164825862472,0.12509532432740939,8.847792999108568e-08,0.13012268009380135,3.1822391760263034,1,1,-0.00048149850200843863
16,0.8568493739493246,0.12938822641475006,1.575014460136335e-07,0.1340825528022352,3.0924871808916707,1,1,-0.0004717714758453867
17,0.8386762095600109,0.13362228351341576,1.6721470267722985e-07,0.1377797754535221,2.9984698793495053,1,1,-0.0004667965047258221
18,0.8202259201101484,0.13781634943814203,1.681215776623107e-07,0.14117494708109282,2.9028904806055387,1,1,-0.0004617553802036614
19,0.8015270644597985,0.1407160938144551,1.229455118464712e-07,0.14429584818786514,2.8062512379504345,1,1,-0.00046093001170550985
20,0.7826696234056266,0.1431208059343279,1.3574668835181292e-07,0.1472564031202746,2.707030295949578,1,1,-0.00045831541824209454
21,0.7637013407861447,0.14550848603924446,8.991562852851314e-08,0.14995977631721003,2.6086103213299756,1,1,-0.0004561330351653334
22,0.7446431865951136,0.1474659065360589,4.8790945170361046e-08,0.15246171953861598,2.510014678657469,1,1,-0.0004523975916668199
23,0.7255390072195328,0.1491659232485702,6.080810689936152e-08,0.15479593176867154,2.409000206148379,1,1,-0.0004390848097270486
24,0.7064329519793452,0.1507208560464558,5.609247978358474e-08,0.15630478493335903,2.308342356224777,1,1,-0.00042366127329761596
25,0.6873722330671714,0.15219322743321928,1.2183652464399568e-07,0.15704993586062677,2.2087617920567384,1,1,-0.00039897312065157245
26,0.6684037722487516,0.15331434795824678,2.068373189441913e-07,0.15715147281885,2.1097313676683775,1,1,-0.0003567656132011307
27,0.6495954885763039,0.15384533727142397,1.0056517598015474e-07,0.15675468896057226,2.0093231715214417,1,1,-0.00034371499307294176
28,0.6309759869362623,0.15426108696995333,4.091899414552558e-08,0.1559965243368564,1.9114832096994818,1,1,-0.000324614660956412
29,0.6125755432422647,0.1523821190341323,3.042427486230366e-08,0.15485279304233987,1.8163989545872217,1,1,-0.0002970032400241157
30,0.5945432523681438,0.14920705204309379,3.708762364551794e-08,0.1533414205389102,1.724712414086026,1,1,-0.0003283553697270153
31,0.5769286260063349,0.1464026693858098,5.190802989130657e-08,0.15158535922865007,1.6373714541878437,1,1,-0.00029010144898458656
32,0.55982143263657,0.1432663773402716,6.188383663726889e-08,0.14942481447457467,1.5541050170271702,1,1,-0.0002975300692307434
33,0.5432250967583208,0.14011302915196203,7.018518651961622e-08,0.14689010066386557,1.4744309228163757,1,1,-0.00028004155751600035
34,0.5271550690099703,0.1366730603077168,7.303776075762e-08,0.1441791625650782,1.3986569500669448,1,1,-0.0002791730466362198
35,0.511590760975358,0.13319087720652822,6.831335323323867e-08,0.14110808975285438,1.3263139174737297,1,1,-0.0002273939066038018
36,0.496576657010946,0.12929645531738992,5.1796454968502516e-08,0.13794582326372684,1.2571154747991433,1,1,-0.00021635125197917368
37,0.4820843161117381,0.12505826536370496,5.524419259110174e-08,0.13468420667926523,1.191809555578858,1,1,-0.00021798829005860096
38,0.46810769721870005,0.12092102805688223,5.7017367962784984e-08,0.1313756710471653,1.1304815359289337,1,1,-0.000220580913059926
39,0.4546310021276384,0.11684660719065403,5.748258560098906e-08,0.12789077531276094,1.072333588023267,1,1,-0.00021903333858798446
40,0.4416538297793653,0.11286556207150347,6.330030685587285e-08,0.12425180731648215,1.0175240196918809,1,1,-0.0002099146943846629
41,0.4291740467336984,0.10815553232184508,8.873124508808876e-08,0.1206803351671146,0.9659102684680202,1,1,-0.00013375484456707928
42,0.4172876949953077,0.10344428963520133,1.0127789129353909e-07,0.1168998423976293,0.9168482218579408,1,1,-0.00017094624631210087
43,0.40588041595707414,0.09891811937126935,6.203951446662716e-08,0.11333305360814609,0.8713061321586335,1,1,-0.00012927614504840493
44,0.39500588717949503,0.094568840996376,2.0421357951075643e-07,0.10982709158394491,0.828982267886808,1,1,-0.00013727181284818937
45,0.3845918576513685,0.09033915180440126,1.0897213856246859e-07,0.10622138770864786,0.7883233314295603,1,1,-0.00011396908796832729
46,0.37466111060246376,0.08621894094572774,7.23304428839055e-08,0.10245263458863872,0.7495653096141102,1,1,-0.00013430980797097397
47,0.3651620300527699,0.08224507523784073,8.35697797693034e-08,0.0987186651553823,0.7134140615012302,1,1,-0.00010660263064799294
48,0.35612429446646576,0.07841397110035947,1.0797369749198209e-07,0.09500941935459732,0.6793302634211145,1,1,-0.00010554475364392066
49,0.34750442188364083,0.07473397678098503,7.68595076590834e-08,0.09123535319295357,0.6471111418285014,1,1,-0.00010159564747693091
50,0.3392897351517006,0.0712027510281438,7.658974875522274e-08,0.08756677443783416,0.6171109651526163,1,1,-0.00012539159610229847
51,0.33143378573909976,0.06780237908641382,2.116637932993798e-07,0.08387414495561457,0.5887281712826734,1,1,-0.00010895714305868883
52,0.32396205353494023,0.06453504320359543,6.034116665427217e-08,0.08043034104710688,0.5618609940360728,1,1,-3.7747657022670945e-05
53,0.31691260028778023,0.059830777830979155,1.284483729800814e-07,0.07677927144576771,0.5354759126622565,1,1,-3.8019674912326794e-05
54,0.3102952045305757,0.04518774203526492,1.6557916478908934e-07,0.07312393415916196,0.5105514180395709,1,1,-6.795742059556662e-05
55,0.30476127934253916,0.03604842962875804,1.5694909758660144e-07,0.07026584022845271,0.49045969000272965,1,1,-2.6349966588941863e-05
56,0.30017042417909856,0.027641477730087065,1.6376896764463316e-07,0.06764749548676643,0.47295476667848335,1,1,-2.173886081224081e-05
57,0.2964639491490624,0.024290713491393456,6.392320498023403e-08,0.06546017525975803,0.45779092025846657,1,1,-6.293298688765832e-05
58,0.2932529879224698,0.02288679833648267,1.2843434820845736e-07,0.06345474072918506,0.4442882111852272,1,1,-4.505157740023044e-05
59,0.290381677854633,0.022327441749765913,1.0137220779440618e-07,0.06164617809867221,0.43199658219684495,1,1,-7.54342638258714e-05
60,0.28766173694690456,0.02222032976421022,3.02910125299134e-07,0.0600574378336239,0.420956587742352,1,1,-4.4471529887383024e-05
