cargo_id,error_type,value
cargo_0,normal_error_deg,14.7896092059
cargo_0,normal_error_deg,0
cargo_0,normal_error_deg,2.08539079407
cargo_0,normal_error_deg,14.0625
cargo_0,normal_error_deg,13.3353907941
cargo_0,normal_error_deg,12.2576972367
cargo_0,normal_error_deg,15.8336996597
cargo_0,normal_error_deg,21.1430876891
cargo_0,normal_error_deg,13.5933015202
cargo_0,normal_error_deg,7.96830152019
cargo_0,normal_error_deg,6.5625
cargo_0,normal_error_deg,8.4375
cargo_0,normal_error_deg,14.5316984798
cargo_0,normal_error_deg,17.6350479995
cargo_0,normal_error_deg,14.167793643
cargo_0,normal_error_deg,16.7960796513
cargo_0,normal_error_deg,13.4295227261
cargo_0,normal_error_deg,15.9369354788
cargo_0,normal_error_deg,13.957206357
cargo_0,normal_error_deg,16.9539203487
cargo_0,normal_error_deg,14.6954772739
cargo_0,normal_error_deg,17.8130645212
cargo_0,normal_error_deg,0
cargo_0,normal_error_deg,3.09309463694
cargo_0,normal_error_deg,3.8139181164
cargo_0,normal_error_deg,30.9375
cargo_0,normal_error_deg,13.0610818836
cargo_0,normal_error_deg,11.5985228819
cargo_0,normal_error_deg,18.6499858907
cargo_0,normal_error_deg,18.6499858907
cargo_0,normal_error_deg,11.5985228819
cargo_0,normal_error_deg,5.97352288191
cargo_0,normal_error_deg,30.9375
cargo_0,normal_error_deg,3.8139181164
cargo_0,normal_error_deg,3.09309463694
cargo_0,normal_error_deg,17.8130645212
cargo_0,normal_error_deg,14.6954772739
cargo_0,normal_error_deg,16.9539203487
cargo_0,normal_error_deg,13.957206357
cargo_0,normal_error_deg,15.9369354788
cargo_0,normal_error_deg,13.4295227261
cargo_0,normal_error_deg,16.7960796513
cargo_0,normal_error_deg,14.167793643
cargo_0,normal_error_deg,17.8130645212
cargo_0,normal_error_deg,14.6954772739
cargo_0,normal_error_deg,16.9539203487
cargo_0,normal_error_deg,13.957206357
cargo_0,normal_error_deg,15.9369354788
cargo_0,normal_error_deg,13.4295227261
cargo_0,normal_error_deg,16.7960796513
cargo_0,normal_error_deg,14.167793643
cargo_0,normal_error_deg,18.6499858907
cargo_0,normal_error_deg,11.5985228819
cargo_0,normal_error_deg,13.0610818836
cargo_0,normal_error_deg,13.7819053631
cargo_0,normal_error_deg,8.4375
cargo_0,normal_error_deg,3.09309463694
cargo_0,normal_error_deg,0
cargo_0,normal_error_deg,8.71809463694
cargo_0,normal_error_deg,8.4375
cargo_0,normal_error_deg,13.7819053631
cargo_0,normal_error_deg,13.0610818836
cargo_0,normal_error_deg,11.5985228819
cargo_0,normal_error_deg,18.6499858907
cargo_0,normal_error_deg,14.167793643
cargo_0,normal_error_deg,16.7960796513
cargo_0,normal_error_deg,13.4295227261
cargo_0,normal_error_deg,15.9369354788
cargo_0,normal_error_deg,13.957206357
cargo_0,normal_error_deg,16.9539203487
cargo_0,normal_error_deg,14.6954772739
cargo_0,normal_error_deg,17.8130645212
cargo_0,normal_error_deg,17.6604283485
cargo_0,normal_error_deg,14.2866207976
cargo_0,normal_error_deg,16.1040604104
cargo_0,normal_error_deg,12.2964743576
cargo_0,normal_error_deg,16.0895716515
cargo_0,normal_error_deg,13.8383792024
cargo_0,normal_error_deg,12.0209395896
cargo_0,normal_error_deg,15.8285256424
cargo_0,normal_error_deg,13.2623649542
cargo_0,normal_error_deg,0
cargo_0,normal_error_deg,2.78306101681
cargo_0,normal_error_deg,2.95877430154
cargo_0,normal_error_deg,25.3125
cargo_0,normal_error_deg,13.9162256985
cargo_0,normal_error_deg,12.8752595493
cargo_0,normal_error_deg,15.5431827527
cargo_0,normal_error_deg,15.5431827527
cargo_0,normal_error_deg,12.8752595493
cargo_0,normal_error_deg,7.25025954934
cargo_0,normal_error_deg,25.3125
cargo_0,normal_error_deg,2.95877430154
cargo_0,normal_error_deg,2.78306101681
cargo_0,normal_error_deg,14.3162179233
cargo_0,normal_error_deg,16.9257697076
cargo_0,normal_error_deg,13.133953456
cargo_0,normal_error_deg,15.0522560203
cargo_0,normal_error_deg,17.5567154698
