iteration,time,cargo_id,x,y,yaw_deg,J,cross_track,cargo_speed,strict_coverage,contacts,net_force_parallel,net_force_cross,net_torque,min_inter_agent_distance,min_signed_clearance,max_penetration
0,0.000000,cargo_0,4.000000000,4.000000000,0.000000000,nan,nan,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.888888889,3.220000000,0.000000000
1,0.050000,cargo_0,4.000000000,4.000000000,0.000000000,nan,nan,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.888888889,3.205000000,0.000000000
2,0.100000,cargo_0,4.000000000,4.000000000,0.000000000,nan,nan,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.888888889,3.190000000,0.000000000
3,0.150000,cargo_0,4.000000000,4.000000000,0.000000000,nan,nan,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.888888889,3.175000000,0.000000000
4,0.200000,cargo_0,4.000000000,4.000000000,0.000000000,nan,nan,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.888888889,3.160000000,0.000000000
5,0.250000,cargo_0,4.000000000,4.000000000,0.000000000,nan,nan,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.888888889,3.145000000,0.000000000
6,0.300000,cargo_0,4.000000000,4.000000000,0.000000000,nan,nan,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.888888889,3.130000000,0.000000000
7,0.350000,cargo_0,4.000000000,4.000000000,0.000000000,nan,nan,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.888888889,3.115000000,0.000000000
8,0.400000,cargo_0,4.000000000,4.000000000,0.000000000,nan,nan,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.888888889,3.100000000,0.000000000
9,0.450000,cargo_0,4.000000000,4.000000000,0.000000000,nan,nan,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.888888889,3.085000000,0.000000000
10,0.500000,cargo_0,4.000000000,4.000000000,0.000000000,nan,nan,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.888888889,3.070000000,0.000000000
11,0.550000,cargo_0,4.000000000,4.000000000,0.000000000,nan,nan,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.888888889,3.055000000,0.000000000
12,0.600000,cargo_0,4.000000000,4.000000000,0.000000000,nan,nan,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.888888889,3.040000000,0.000000000
13,0.650000,cargo_0,4.000000000,4.000000000,0.000000000,nan,nan,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.888888889,3.025000000,0.000000000
14,0.700000,cargo_0,4.000000000,4.000000000,0.000000000,nan,nan,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.888888889,3.010000000,0.000000000
15,0.750000,cargo_0,4.000000000,4.000000000,0.000000000,nan,nan,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.888888889,2.995000000,0.000000000
16,0.800000,cargo_0,4.000000000,4.000000000,0.000000000,nan,nan,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.888888889,2.980000000,0.000000000
17,0.850000,cargo_0,4.000000000,4.000000000,0.000000000,nan,nan,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.888888889,2.965000000,0.000000000
18,0.900000,cargo_0,4.000000000,4.000000000,0.000000000,nan,nan,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.888888889,2.950000000,0.000000000
19,0.950000,cargo_0,4.000000000,4.000000000,0.000000000,nan,nan,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.888888889,2.935000000,0.000000000
20,1.000000,cargo_0,4.000000000,4.000000000,0.000000000,nan,nan,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.888888889,2.920000000,0.000000000
21,1.050000,cargo_0,4.000000000,4.000000000,0.000000000,nan,nan,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.888888889,2.905000000,0.000000000
22,1.100000,cargo_0,4.000000000,4.000000000,0.000000000,nan,nan,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.888888889,2.890000000,0.000000000
23,1.150000,cargo_0,4.000000000,4.000000000,0.000000000,nan,nan,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.888888889,2.875000000,0.000000000
24,1.200000,cargo_0,4.000000000,4.000000000,0.000000000,nan,nan,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.888888889,2.860000000,0.000000000
25,1.250000,cargo_0,4.000000000,4.000000000,0.000000000,nan,nan,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.888888889,2.845000000,0.000000000
26,1.300000,cargo_0,4.000000000,4.000000000,0.000000000,nan,nan,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.888888889,2.830000000,0.000000000
27,1.350000,cargo_0,4.000000000,4.000000000,0.000000000,nan,nan,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.888888889,2.815000000,0.000000000
28,1.400000,cargo_0,4.000000000,4.000000000,0.000000000,nan,nan,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.888888889,2.800000000,0.000000000
29,1.450000,cargo_0,4.000000000,4.000000000,0.000000000,nan,nan,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.888888889,2.785000000,0.000000000
30,1.500000,cargo_0,4.000000000,4.000000000,0.000000000,nan,nan,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.888888889,2.770000000,0.000000000
31,1.550000,cargo_0,4.000000000,4.000000000,0.000000000,nan,nan,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.888888889,2.755000000,0.000000000
32,1.600000,cargo_0,4.000000000,4.000000000,0.000000000,nan,nan,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.888888889,2.740000000,0.000000000
33,1.650000,cargo_0,4.000000000,4.000000000,0.000000000,nan,nan,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.888888889,2.725000000,0.000000000
34,1.700000,cargo_0,4.000000000,4.000000000,0.000000000,nan,nan,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.888888889,2.710000000,0.000000000
35,1.750000,cargo_0,4.000000000,4.000000000,0.000000000,nan,nan,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.888888889,2.695000000,0.000000000
36,1.800000,cargo_0,4.000000000,4.000000000,0.000000000,nan,nan,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.888888889,2.680000000,0.000000000
37,1.850000,cargo_0,4.000000000,4.000000000,0.000000000,nan,nan,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.888888889,2.665000000,0.000000000
38,1.900000,cargo_0,4.000000000,4.000000000,0.000000000,nan,nan,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.888888889,2.650000000,0.000000000
39,1.950000,cargo_0,4.000000000,4.000000000,0.000000000,nan,nan,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.888888889,2.635000000,0.000000000
