time,kind,id,x,y
0.3000,agent,agent_06,0.290000,5.777778
0.3000,agent,agent_07,0.290000,6.666667
0.3000,agent,agent_08,0.290000,7.555556
0.3000,agent,agent_09,7.710000,0.444444
0.3000,agent,agent_10,7.710000,1.333333
0.3000,agent,agent_11,7.710000,2.222222
0.3000,agent,agent_12,7.710000,3.111111
0.3000,agent,agent_13,7.710000,4.000000
0.3000,agent,agent_14,7.710000,4.888889
0.3000,agent,agent_15,7.710000,5.777778
0.3000,agent,agent_16,7.710000,6.666667
0.3000,agent,agent_17,7.710000,7.555556
0.3000,cargo,cargo_0,4.000000,4.000000
0.3500,agent,agent_00,0.305000,0.444444
0.3500,agent,agent_01,0.305000,1.333333
0.3500,agent,agent_02,0.305000,2.222222
0.3500,agent,agent_03,0.305000,3.111111
0.3500,agent,agent_04,0.305000,4.000000
0.3500,agent,agent_05,0.305000,4.888889
0.3500,agent,agent_06,0.305000,5.777778
0.3500,agent,agent_07,0.305000,6.666667
0.3500,agent,agent_08,0.305000,7.555556
0.3500,agent,agent_09,7.695000,0.444444
0.3500,agent,agent_10,7.695000,1.333333
0.3500,agent,agent_11,7.695000,2.222222
0.3500,agent,agent_12,7.695000,3.111111
0.3500,agent,agent_13,7.695000,4.000000
0.3500,agent,agent_14,7.695000,4.888889
0.3500,agent,agent_15,7.695000,5.777778
0.3500,agent,agent_16,7.695000,6.666667
0.3500,agent,agent_17,7.695000,7.555556
0.3500,cargo,cargo_0,4.000000,4.000000
0.4000,agent,agent_00,0.320000,0.444444
0.4000,agent,agent_01,0.320000,1.333333
0.4000,agent,agent_02,0.320000,2.222222
0.4000,agent,agent_03,0.320000,3.111111
0.4000,agent,agent_04,0.320000,4.000000
0.4000,agent,agent_05,0.320000,4.888889
0.4000,agent,agent_06,0.320000,5.777778
0.4000,agent,agent_07,0.320000,6.666667
0.4000,agent,agent_08,0.320000,7.555556
0.4000,agent,agent_09,7.680000,0.444444
0.4000,agent,agent_10,7.680000,1.333333
0.4000,agent,agent_11,7.680000,2.222222
0.4000,agent,agent_12,7.680000,3.111111
0.4000,agent,agent_13,7.680000,4.000000
0.4000,agent,agent_14,7.680000,4.888889
0.4000,agent,agent_15,7.680000,5.777778
0.4000,agent,agent_16,7.680000,6.666667
0.4000,agent,agent_17,7.680000,7.555556
0.4000,cargo,cargo_0,4.000000,4.000000
0.4500,agent,agent_00,0.335000,0.444444
0.4500,agent,agent_01,0.335000,1.333333
0.4500,agent,agent_02,0.335000,2.222222
0.4500,agent,agent_03,0.335000,3.111111
0.4500,agent,agent_04,0.335000,4.000000
0.4500,agent,agent_05,0.335000,4.888889
0.4500,agent,agent_06,0.335000,5.777778
0.4500,agent,agent_07,0.335000,6.666667
0.4500,agent,agent_08,0.335000,7.555556
0.4500,agent,agent_09,7.665000,0.444444
0.4500,agent,agent_10,7.665000,1.333333
0.4500,agent,agent_11,7.665000,2.222222
0.4500,agent,agent_12,7.665000,3.111111
0.4500,agent,agent_13,7.665000,4.000000
0.4500,agent,agent_14,7.665000,4.888889
0.4500,agent,agent_15,7.665000,5.777778
0.4500,agent,agent_16,7.665000,6.666667
0.4500,agent,agent_17,7.665000,7.555556
0.4500,cargo,cargo_0,4.000000,4.000000
0.5000,agent,agent_00,0.350000,0.444444
0.5000,agent,agent_01,0.350000,1.333333
0.5000,agent,agent_02,0.350000,2.222222
0.5000,agent,agent_03,0.350000,3.111111
0.5000,agent,agent_04,0.350000,4.000000
0.5000,agent,agent_05,0.350000,4.888889
0.5000,agent,agent_06,0.350000,5.777778
0.5000,agent,agent_07,0.350000,6.666667
0.5000,agent,agent_08,0.350000,7.555556
0.5000,agent,agent_09,7.650000,0.444444
0.5000,agent,agent_10,7.650000,1.333333
0.5000,agent,agent_11,7.650000,2.222222
0.5000,agent,agent_12,7.650000,3.111111
0.5000,agent,agent_13,7.650000,4.000000
0.5000,agent,agent_14,7.650000,4.888889
0.5000,agent,agent_15,7.650000,5.777778
0.5000,agent,agent_16,7.650000,6.666667
0.5000,agent,agent_17,7.650000,7.555556
0.5000,cargo,cargo_0,4.000000,4.000000
0.5500,agent,agent_00,0.365000,0.444444
0.5500,agent,agent_01,0.365000,1.333333
0.5500,agent,agent_02,0.365000,2.222222
0.5500,agent,agent_03,0.365000,3.111111
0.5500,agent,agent_04,0.365000,4.000000
0.5500,agent,agent_05,0.365000,4.888889
0.5500,agent,agent_06,0.365000,5.777778
0.5500,agent,agent_07,0.365000,6.666667
0.5500,agent,agent_08,0.365000,7.555556
0.5500,agent,agent_09,7.635000,0.444444
0.5500,agent,agent_10,7.635000,1.333333
0.5500,agent,agent_11,7.635000,2.222222
0.5500,agent,agent_12,7.635000,3.111111
0.5500,agent,agent_13,7.635000,4.000000
0.5500,agent,agent_14,7.635000,4.888889
0.5500,agent,agent_15,7.635000,5.777778
0.5500,agent,agent_16,7.635000,6.666667
0.5500,agent,agent_17,7.635000,7.555556
