iteration,time,cargo_id,strict_coverage,legacy_coverage,min_signed_clearance,max_penetration,agents_inside,contacts,net_force_x,net_force_y,net_torque
53,2.6500,cargo_0,0.000000,0.000000,2.425000,0.000000,0,0,0.000000,0.000000,0.000000
54,2.7000,cargo_0,0.000000,0.000000,2.410000,0.000000,0,0,0.000000,0.000000,0.000000
55,2.7500,cargo_0,0.000000,0.000000,2.395000,0.000000,0,0,0.000000,0.000000,0.000000
56,2.8000,cargo_0,0.000000,0.000000,2.380000,0.000000,0,0,0.000000,0.000000,0.000000
57,2.8500,cargo_0,0.000000,0.000000,2.365000,0.000000,0,0,0.000000,0.000000,0.000000
58,2.9000,cargo_0,0.000000,0.000000,2.350000,0.000000,0,0,0.000000,0.000000,0.000000
59,2.9500,cargo_0,0.000000,0.000000,2.335000,0.000000,0,0,0.000000,0.000000,0.000000
60,3.0000,cargo_0,0.000000,0.000000,2.320000,0.000000,0,0,0.000000,0.000000,0.000000
61,3.0500,cargo_0,0.000000,0.000000,2.305000,0.000000,0,0,0.000000,0.000000,0.000000
62,3.1000,cargo_0,0.000000,0.000000,2.290000,0.000000,0,0,0.000000,0.000000,0.000000
63,3.1500,cargo_0,0.000000,0.000000,2.275000,0.000000,0,0,0.000000,0.000000,0.000000
64,3.2000,cargo_0,0.000000,0.000000,2.260000,0.000000,0,0,0.000000,0.000000,0.000000
65,3.2500,cargo_0,0.000000,0.000000,2.245000,0.000000,0,0,0.000000,0.000000,0.000000
66,3.3000,cargo_0,0.000000,0.000000,2.230000,0.000000,0,0,0.000000,0.000000,0.000000
67,3.3500,cargo_0,0.000000,0.000000,2.215000,0.000000,0,0,0.000000,0.000000,0.000000
68,3.4000,cargo_0,0.000000,0.000000,2.200000,0.000000,0,0,0.000000,0.000000,0.000000
69,3.4500,cargo_0,0.000000,0.000000,2.185000,0.000000,0,0,0.000000,0.000000,0.000000
70,3.5000,cargo_0,0.000000,0.000000,2.170000,0.000000,0,0,0.000000,0.000000,0.000000
71,3.5500,cargo_0,0.000000,0.000000,2.155000,0.000000,0,0,0.000000,0.000000,0.000000
72,3.6000,cargo_0,0.000000,0.000000,2.140000,0.000000,0,0,0.000000,0.000000,0.000000
73,3.6500,cargo_0,0.000000,0.000000,2.125000,0.000000,0,0,0.000000,0.000000,0.000000
74,3.7000,cargo_0,0.000000,0.000000,2.110000,0.000000,0,0,0.000000,0.000000,0.000000
75,3.7500,cargo_0,0.000000,0.000000,2.095000,0.000000,0,0,0.000000,0.000000,0.000000
76,3.8000,cargo_0,0.000000,0.000000,2.080000,0.000000,0,0,0.000000,0.000000,0.000000
77,3.8500,cargo_0,0.000000,0.000000,2.065000,0.000000,0,0,0.000000,0.000000,0.000000
78,3.9000,cargo_0,0.000000,0.000000,2.050000,0.000000,0,0,0.000000,0.000000,0.000000
79,3.9500,cargo_0,0.000000,0.000000,2.035000,0.000000,0,0,0.000000,0.000000,0.000000
80,4.0000,cargo_0,0.000000,0.000000,2.020000,0.000000,0,0,0.000000,0.000000,0.000000
81,4.0500,cargo_0,0.000000,0.000000,2.005000,0.000000,0,0,0.000000,0.000000,0.000000
82,4.1000,cargo_0,0.000000,0.000000,1.990000,0.000000,0,0,0.000000,0.000000,0.000000
83,4.1500,cargo_0,0.000000,0.000000,1.975000,0.000000,0,0,0.000000,0.000000,0.000000
84,4.2000,cargo_0,0.000000,0.000000,1.960000,0.000000,0,0,0.000000,0.000000,0.000000
85,4.2500,cargo_0,0.000000,0.000000,1.945000,0.000000,0,0,0.000000,0.000000,0.000000
86,4.3000,cargo_0,0.000000,0.000000,1.930000,0.000000,0,0,0.000000,0.000000,0.000000
87,4.3500,cargo_0,0.000000,0.000000,1.915000,0.000000,0,0,0.000000,0.000000,0.000000
88,4.4000,cargo_0,0.000000,0.000000,1.900000,0.000000,0,0,0.000000,0.000000,0.000000
89,4.4500,cargo_0,0.000000,0.000000,1.885000,0.000000,0,0,0.000000,0.000000,0.000000
90,4.5000,cargo_0,0.000000,0.000000,1.870000,0.000000,0,0,0.000000,0.000000,0.000000
91,4.5500,cargo_0,0.000000,0.000000,1.855000,0.000000,0,0,0.000000,0.000000,0.000000
92,4.6000,cargo_0,0.000000,0.000000,1.840000,0.000000,0,0,0.000000,0.000000,0.000000
93,4.6500,cargo_0,0.000000,0.000000,1.825000,0.000000,0,0,0.000000,0.000000,0.000000
94,4.7000,cargo_0,0.000000,0.000000,1.810000,0.000000,0,0,0.000000,0.000000,0.000000
95,4.7500,cargo_0,0.000000,0.000000,1.795000,0.000000,0,0,0.000000,0.000000,0.000000
96,4.8000,cargo_0,0.000000,0.000000,1.780000,0.000000,0,0,0.000000,0.000000,0.000000
97,4.8500,cargo_0,0.000000,0.000000,1.765000,0.000000,0,0,0.000000,0.000000,0.000000
98,4.9000,cargo_0,0.000000,0.000000,1.750000,0.000000,0,0,0.000000,0.000000,0.000000
99,4.9500,cargo_0,0.000000,0.000000,1.735000,0.000000,0,0,0.000000,0.000000,0.000000
100,5.0000,cargo_0,0.000000,0.000000,1.720000,0.000000,0,0,0.000000,0.000000,0.000000
101,5.0500,cargo_0,0.000000,0.000000,1.705000,0.000000,0,0,0.000000,0.000000,0.000000
102,5.1000,cargo_0,0.000000,0.000000,1.690000,0.000000,0,0,0.000000,0.000000,0.000000
103,5.1500,cargo_0,0.000000,0.000000,1.675000,0.000000,0,0,0.000000,0.000000,0.000000
104,5.2000,cargo_0,0.000000,0.000000,1.660000,0.000000,0,0,0.000000,0.000000,0.000000
105,5.2500,cargo_0,0.000000,0.000000,1.645000,0.000000,0,0,0.000000,0.000000,0.000000
106,5.3000,cargo_0,0.000000,0.000000,1.630000,0.000000,0,0,0.000000,0.000000,0.000000
107,5.3500,cargo_0,0.000000,0.000000,1.615000,0.000000,0,0,0.000000,0.000000,0.000000
108,5.4000,cargo_0,0.000000,0.000000,1.600000,0.000000,0,0,0.000000,0.000000,0.000000
109,5.4500,cargo_0,0.000000,0.000000,1.585000,0.000000,0,0,0.000000,0.000000,0.000000
110,5.5000,cargo_0,0.000000,0.000000,1.570000,0.000000,0,0,0.000000,0.000000,0.000000
111,5.5500,cargo_0,0.000000,0.000000,1.555000,0.000000,0,0,0.000000,0.000000,0.000000
112,5.6000,cargo_0,0.000000,0.000000,1.540000,0.000000,0,0,0.000000,0.000000,0.000000
113,5.6500,cargo_0,0.000000,0.000000,1.525000,0.000000,0,0,0.000000,0.000000,0.000000
114,5.7000,cargo_0,0.000000,0.000000,1.510000,0.000000,0,0,0.000000,0.000000,0.000000
115,5.7500,cargo_0,0.000000,0.000000,1.495000,0.000000,0,0,0.000000,0.000000,0.000000
116,5.8000,cargo_0,0.000000,0.000000,1.480000,0.000000,0,0,0.000000,0.000000,0.000000
117,5.8500,cargo_0,0.000000,0.000000,1.465000,0.000000,0,0,0.000000,0.000000,0.000000
118,5.9000,cargo_0,0.000000,0.000000,1.450000,0.000000,0,0,0.000000,0.000000,0.000000
119,5.9500,cargo_0,0.000000,0.000000,1.435000,0.000000,0,0,0.000000,0.000000,0.000000
120,6.0000,cargo_0,0.000000,0.000000,1.420000,0.000000,0,0,0.000000,0.000000,0.000000
121,6.0500,cargo_0,0.000000,0.000000,1.405000,0.000000,0,0,0.000000,0.000000,0.000000
122,6.1000,cargo_0,0.000000,0.000000,1.390000,0.000000,0,0,0.000000,0.000000,0.000000
123,6.1500,cargo_0,0.000000,0.000000,1.375000,0.000000,0,0,0.000000,0.000000,0.000000
124,6.2000,cargo_0,0.000000,0.000000,1.360000,0.000000,0,0,0.000000,0.000000,0.000000
125,6.2500,cargo_0,0.000000,0.000000,1.345000,0.000000,0,0,0.000000,0.000000,0.000000
126,6.3000,cargo_0,0.000000,0.000000,1.330000,0.000000,0,0,0.000000,0.000000,0.000000
127,6.3500,cargo_0,0.000000,0.000000,1.315000,0.000000,0,0,0.000000,0.000000,0.000000
128,6.4000,cargo_0,0.000000,0.000000,1.300000,0.000000,0,0,0.000000,0.000000,0.000000
129,6.4500,cargo_0,0.000000,0.000000,1.285000,0.000000,0,0,0.000000,0.000000,0.000000
130,6.5000,cargo_0,0.000000,0.000000,1.270000,0.000000,0,0,0.000000,0.000000,0.000000
131,6.5500,cargo_0,0.000000,0.000000,1.255000,0.000000,0,0,0.000000,0.000000,0.000000
132,6.6000,cargo_0,0.000000,0.000000,1.240000,0.000000,0,0,0.000000,0.000000,0.000000
133,6.6500,cargo_0,0.000000,0.000000,1.225000,0.000000,0,0,0.000000,0.000000,0.000000
134,6.7000,cargo_0,0.000000,0.000000,1.210000,0.000000,0,0,0.000000,0.000000,0.000000
135,6.7500,cargo_0,0.000000,0.000000,1.195000,0.000000,0,0,0.000000,0.000000,0.000000
136,6.8000,cargo_0,0.000000,0.000000,1.180000,0.000000,0,0,0.000000,0.000000,0.000000
137,6.8500,cargo_0,0.000000,0.000000,1.165000,0.000000,0,0,0.000000,0.000000,0.000000
138,6.9000,cargo_0,0.000000,0.000000,1.150000,0.000000,0,0,0.000000,0.000000,0.000000
139,6.9500,cargo_0,0.000000,0.000000,1.135000,0.000000,0,0,0.000000,0.000000,0.000000
140,7.0000,cargo_0,0.000000,0.000000,1.120000,0.000000,0,0,0.000000,0.000000,0.000000
141,7.0500,cargo_0,0.000000,0.000000,1.105000,0.000000,0,0,0.000000,0.000000,0.000000
142,7.1000,cargo_0,0.000000,0.000000,1.090000,0.000000,0,0,0.000000,0.000000,0.000000
143,7.1500,cargo_0,0.000000,0.000000,1.075000,0.000000,0,0,0.000000,0.000000,0.000000
144,7.2000,cargo_0,0.000000,0.000000,1.060000,0.000000,0,0,0.000000,0.000000,0.000000
145,7.2500,cargo_0,0.000000,0.000000,1.045000,0.000000,0,0,0.000000,0.000000,0.000000
146,7.3000,cargo_0,0.000000,0.000000,1.030000,0.000000,0,0,0.000000,0.000000,0.000000
147,7.3500,cargo_0,0.000000,0.000000,1.015000,0.000000,0,0,0.000000,0.000000,0.000000
148,7.4000,cargo_0,0.000000,0.000000,1.000000,0.000000,0,0,0.000000,0.000000,0.000000
149,7.4500,cargo_0,0.000000,0.000000,0.985000,0.000000,0,0,0.000000,0.000000,0.000000
150,7.5000,cargo_0,0.000000,0.000000,0.970000,0.000000,0,0,0.000000,0.000000,0.000000
151,7.5500,cargo_0,0.000000,0.000000,0.955000,0.000000,0,0,0.000000,0.000000,0.000000
152,7.6000,cargo_0,0.000000,0.000000,0.940000,0.000000,0,0,0.000000,0.000000,0.000000
153,7.6500,cargo_0,0.000000,0.000000,0.925000,0.000000,0,0,0.000000,0.000000,0.000000
154,7.7000,cargo_0,0.000000,0.000000,0.910000,0.000000,0,0,0.000000,0.000000,0.000000
155,7.7500,cargo_0,0.000000,0.000000,0.895000,0.000000,0,0,0.000000,0.000000,0.000000
156,7.8000,cargo_0,0.000000,0.000000,0.880000,0.000000,0,0,0.000000,0.000000,0.000000
157,7.8500,cargo_0,0.000000,0.000000,0.865000,0.000000,0,0,0.000000,0.000000,0.000000
158,7.9000,cargo_0,0.000000,0.000000,0.850000,0.000000,0,0,0.000000,0.000000,0.000000
159,7.9500,cargo_0,0.000000,0.000000,0.835000,0.000000,0,0,0.000000,0.000000,0.000000
160,8.0000,cargo_0,0.000000,0.000000,0.820000,0.000000,0,0,0.000000,0.000000,0.000000
161,8.0500,cargo_0,0.000000,0.000000,0.805000,0.000000,0,0,0.000000,0.000000,0.000000
162,8.1000,cargo_0,0.000000,0.000000,0.790000,0.000000,0,0,0.000000,0.000000,0.000000
163,8.1500,cargo_0,0.000000,0.000000,0.775000,0.000000,0,0,0.000000,0.000000,0.000000
164,8.2000,cargo_0,0.000000,0.000000,0.760000,0.000000,0,0,0.000000,0.000000,0.000000
165,8.2500,cargo_0,0.000000,0.000000,0.745000,0.000000,0,0,0.000000,0.000000,0.000000
166,8.3000,cargo_0,0.000000,0.000000,0.730000,0.000000,0,0,0.000000,0.000000,0.000000
167,8.3500,cargo_0,0.000000,0.000000,0.715000,0.000000,0,0,0.000000,0.000000,0.000000
168,8.4000,cargo_0,0.000000,0.000000,0.700000,0.000000,0,0,0.000000,0.000000,0.000000
169,8.4500,cargo_0,0.000000,0.000000,0.685000,0.000000,0,0,0.000000,0.000000,0.000000
170,8.5000,cargo_0,0.000000,0.000000,0.670000,0.000000,0,0,0.000000,0.000000,0.000000
171,8.5500,cargo_0,0.000000,0.000000,0.655000,0.000000,0,0,0.000000,0.000000,0.000000
172,8.6000,cargo_0,0.000000,0.000000,0.640000,0.000000,0,0,0.000000,0.000000,0.000000
